CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
1200807,Porto Acre,-9.629524,-67.69843,12,Acre,AC,1,Norte,N,2603.942
1200385,Plácido de Castro,-10.249093,-67.34032,12,Acre,AC,1,Norte,N,1952.531
1200351,Marechal Thaumaturgo,-9.096073,-72.558791,12,Acre,AC,1,Norte,N,8185.635
1200336,Mâncio Lima,-7.504824,-73.435822,12,Acre,AC,1,Norte,N,5414.073
1200328,Jordão,-9.241691,-71.90547,12,Acre,AC,1,Norte,N,5346.443
1200450,Senador Guiomard,-9.997309,-67.427708,12,Acre,AC,1,Norte,N,2320.956
1200435,Santa Rosa do Purus,-9.409702,-70.395393,12,Acre,AC,1,Norte,N,6144.95
1200427,Rodrigues Alves,-7.843977,-73.224261,12,Acre,AC,1,Norte,N,3082.396
1200401,Rio Branco,-10.066139,-68.371082,12,Acre,AC,1,Norte,N,8834.832
1200393,Porto Walter,-8.49209,-72.734081,12,Acre,AC,1,Norte,N,6452.756
1200252,Epitaciolândia,-10.889201,-68.618225,12,Acre,AC,1,Norte,N,1652.715
1200203,Cruzeiro do Sul,-7.972239,-72.755703,12,Acre,AC,1,Norte,N,8793.341
1200302,Feijó,-8.923359,-70.743968,12,Acre,AC,1,Norte,N,27946.684
1200609,Tarauacá,-8.239466,-71.444992,12,Acre,AC,1,Norte,N,20169.487
1200708,Xapuri,-10.575599,-68.504707,12,Acre,AC,1,Norte,N,5350.3
1200500,Sena Madureira,-9.771063,-69.381215,12,Acre,AC,1,Norte,N,23748.843
1200104,Brasiléia,-10.747373,-69.207492,12,Acre,AC,1,Norte,N,3928.821
1200179,Capixaba,-10.474321,-67.83587,12,Acre,AC,1,Norte,N,1705.236
1200138,Bujari,-9.614071,-68.173663,12,Acre,AC,1,Norte,N,3035.547
1200013,Acrelândia,-9.933934,-66.950168,12,Acre,AC,1,Norte,N,1811.612
1200054,Assis Brasil,-10.779704,-70.004519,12,Acre,AC,1,Norte,N,4968.527
1200344,Manoel Urbano,-9.379821,-69.852634,12,Acre,AC,1,Norte,N,10615.134
