CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2709152,Teotônio Vilela,-9.964724094205648,-36.37148907707797,27,Alagoas,AL,2,Nordeste,NE,299.237
2701308,Cajueiro,-9.39036099296017,-36.157814558024455,27,Alagoas,AL,2,Nordeste,NE,107.168
2701357,Campestre,-8.892826272530543,-35.541243145409,27,Alagoas,AL,2,Nordeste,NE,65.019
2709400,Viçosa,-9.358952794227394,-36.26550164481585,27,Alagoas,AL,2,Nordeste,NE,365.154
2701209,Cacimbinhas,-9.446829046731919,-36.921822041138846,27,Alagoas,AL,2,Nordeste,NE,282.011
2708709,São Miguel dos Milagres,-9.230755334694315,-35.40693922203432,27,Alagoas,AL,2,Nordeste,NE,76.852
2700508,Barra de Santo Antônio,-9.381975037969214,-35.56462694683244,27,Alagoas,AL,2,Nordeste,NE,131.364
2700607,Barra de São Miguel,-9.81237517395577,-35.94685749104424,27,Alagoas,AL,2,Nordeste,NE,74.332
2708600,São Miguel dos Campos,-9.772803127056857,-36.100770405772735,27,Alagoas,AL,2,Nordeste,NE,335.679
2700409,Atalaia,-9.504722792014,-36.072450260778744,27,Alagoas,AL,2,Nordeste,NE,533.259
2700805,Belém,-9.557431002143286,-36.49177922372012,27,Alagoas,AL,2,Nordeste,NE,66.629
2708956,Senador Rui Palmeira,-9.390760014196708,-37.512887928435795,27,Alagoas,AL,2,Nordeste,NE,338.569
2709004,Tanque d'Arca,-9.557711046162577,-36.42289896671947,27,Alagoas,AL,2,Nordeste,NE,124.616
2708808,São Sebastião,-9.96240272377935,-36.55017902368346,27,Alagoas,AL,2,Nordeste,NE,312.746
2708907,Satuba,-9.578136536887422,-35.84546955140996,27,Alagoas,AL,2,Nordeste,NE,41.268
2700706,Batalha,-9.708623404731703,-37.100630333304785,27,Alagoas,AL,2,Nordeste,NE,331.752
2708204,São Brás,-10.108749433439286,-36.862163888357586,27,Alagoas,AL,2,Nordeste,NE,138.969
2700102,Água Branca,-9.26502672749851,-37.89872712044758,27,Alagoas,AL,2,Nordeste,NE,473.845
2708105,Santana do Mundaú,-9.130965485258498,-36.191330062583965,27,Alagoas,AL,2,Nordeste,NE,232.17
2708501,São Luís do Quitunde,-9.249747555625394,-35.634197972387724,27,Alagoas,AL,2,Nordeste,NE,397.257
2700300,Arapiraca,-9.74918958752914,-36.64093962501959,27,Alagoas,AL,2,Nordeste,NE,346.188
2708303,São José da Laje,-8.987480166358,-36.03999106908449,27,Alagoas,AL,2,Nordeste,NE,256.603
2708402,São José da Tapera,-9.533134409779134,-37.48984657994722,27,Alagoas,AL,2,Nordeste,NE,490.88
2700201,Anadia,-9.662965167953054,-36.31349553953067,27,Alagoas,AL,2,Nordeste,NE,186.074
2707701,Rio Largo,-9.480035208396286,-35.86443790947449,27,Alagoas,AL,2,Nordeste,NE,293.832
2707602,Quebrangulo,-9.30325359961088,-36.461207692004706,27,Alagoas,AL,2,Nordeste,NE,319.829
2708006,Santana do Ipanema,-9.358995044084148,-37.21107266269801,27,Alagoas,AL,2,Nordeste,NE,436.087
2707800,Roteiro,-9.868770967570374,-35.98041700414328,27,Alagoas,AL,2,Nordeste,NE,128.869
2707909,Santa Luzia do Norte,-9.612071740699978,-35.829897868779156,27,Alagoas,AL,2,Nordeste,NE,28.857
2707206,Poço das Trincheiras,-9.298749972119976,-37.31996194630222,27,Alagoas,AL,2,Nordeste,NE,284.526
2707107,Piranhas,-9.526087916631587,-37.72506459034799,27,Alagoas,AL,2,Nordeste,NE,403.994
2707404,Porto de Pedras,-9.143663907868126,-35.40687588073291,27,Alagoas,AL,2,Nordeste,NE,256.526
2707503,Porto Real do Colégio,-10.121008600581549,-36.73622728206398,27,Alagoas,AL,2,Nordeste,NE,237.017
2707305,Porto Calvo,-9.026016071111139,-35.42678397615221,27,Alagoas,AL,2,Nordeste,NE,313.68
2706703,Penedo,-10.231377775087989,-36.4824460439157,27,Alagoas,AL,2,Nordeste,NE,688.713
2706505,Passo de Camaragibe,-9.256053644548949,-35.499957987815655,27,Alagoas,AL,2,Nordeste,NE,251.169
2706604,Paulo Jacinto,-9.377611390596496,-36.409407643760034,27,Alagoas,AL,2,Nordeste,NE,118.457
2706901,Pilar,-9.615329951790276,-36.00462092865366,27,Alagoas,AL,2,Nordeste,NE,259.646
2707008,Pindoba,-9.475816418471886,-36.2857822630054,27,Alagoas,AL,2,Nordeste,NE,117.576
2706802,Piaçabuçu,-10.38693524727708,-36.40172726368819,27,Alagoas,AL,2,Nordeste,NE,243.686
2706208,Palestina,-9.689345309878291,-37.30250747994514,27,Alagoas,AL,2,Nordeste,NE,38.189
2706000,Olivença,-9.489568285444562,-37.17791636624039,27,Alagoas,AL,2,Nordeste,NE,174.188
2706109,Ouro Branco,-9.12781330037409,-37.36370381251885,27,Alagoas,AL,2,Nordeste,NE,196.349
2706422,Pariconha,-9.240506392410836,-38.0475175942813,27,Alagoas,AL,2,Nordeste,NE,254.718
2706406,Pão de Açúcar,-9.67063385029748,-37.4855127904078,27,Alagoas,AL,2,Nordeste,NE,688.87
2706448,Paripueira,-9.435557336073568,-35.59366814905303,27,Alagoas,AL,2,Nordeste,NE,92.813
2706307,Palmeira dos Índios,-9.418255445980678,-36.605699302604094,27,Alagoas,AL,2,Nordeste,NE,450.99
2705705,Olho d'Água das Flores,-9.533023811105062,-37.257303768048814,27,Alagoas,AL,2,Nordeste,NE,188.398
2705507,Murici,-9.290849533792938,-35.923951215887634,27,Alagoas,AL,2,Nordeste,NE,418.028
2705606,Novo Lino,-8.964391821607347,-35.63061606854742,27,Alagoas,AL,2,Nordeste,NE,219.327
2705903,Olho d'Água Grande,-10.056536722119064,-36.792610939008306,27,Alagoas,AL,2,Nordeste,NE,115.509
2705804,Olho d'Água do Casado,-9.435767110917277,-37.81308499306364,27,Alagoas,AL,2,Nordeste,NE,327.679
2705101,Matriz de Camaragibe,-9.10451906172255,-35.58159620542476,27,Alagoas,AL,2,Nordeste,NE,238.112
2705200,Messias,-9.343601691656161,-35.81235126870293,27,Alagoas,AL,2,Nordeste,NE,114.156
2705002,Mata Grande,-9.051793592139365,-37.755718504327355,27,Alagoas,AL,2,Nordeste,NE,909.535
2705408,Monteirópolis,-9.600610033541315,-37.296124148090954,27,Alagoas,AL,2,Nordeste,NE,86.605
2705309,Minador do Negrão,-9.33691023493156,-36.86353365452188,27,Alagoas,AL,2,Nordeste,NE,167.461
2704609,Maravilha,-9.244087110528483,-37.39971518369937,27,Alagoas,AL,2,Nordeste,NE,334.052
2704708,Marechal Deodoro,-9.71529836158969,-35.90961369627507,27,Alagoas,AL,2,Nordeste,NE,340.987
2704500,Maragogi,-8.951743452143154,-35.2691400713122,27,Alagoas,AL,2,Nordeste,NE,333.952
2704906,Mar Vermelho,-9.472869960454446,-36.40314443207528,27,Alagoas,AL,2,Nordeste,NE,91.741
2704807,Maribondo,-9.559326084096998,-36.29557823938519,27,Alagoas,AL,2,Nordeste,NE,180.107
2704104,Lagoa da Canoa,-9.799924036514449,-36.73597746740265,27,Alagoas,AL,2,Nordeste,NE,83.621
2704005,Junqueiro,-9.856342534388709,-36.44056031478176,27,Alagoas,AL,2,Nordeste,NE,246.961
2704401,Major Isidoro,-9.541967698983234,-37.009159930409275,27,Alagoas,AL,2,Nordeste,NE,437.602
2704203,Limoeiro de Anadia,-9.732392032660771,-36.467652236415844,27,Alagoas,AL,2,Nordeste,NE,309.171
2704302,Maceió,-9.522372252825726,-35.7113943200259,27,Alagoas,AL,2,Nordeste,NE,509.295
2703601,Japaratinga,-9.083522217542793,-35.298256488792326,27,Alagoas,AL,2,Nordeste,NE,85.699
2703502,Jacuípe,-8.883936516524255,-35.447298635846046,27,Alagoas,AL,2,Nordeste,NE,209.65
2703908,Jundiá,-8.962341212735437,-35.53669871478049,27,Alagoas,AL,2,Nordeste,NE,88.772
2703700,Jaramataia,-9.657892684959263,-36.99375432303399,27,Alagoas,AL,2,Nordeste,NE,105.416
2703809,Joaquim Gomes,-9.078855232700324,-35.77779314116629,27,Alagoas,AL,2,Nordeste,NE,300.865
2703759,Jequiá da Praia,-9.921532088134905,-36.097281206814706,27,Alagoas,AL,2,Nordeste,NE,334.619
2703106,Igaci,-9.543377496975358,-36.681961152221184,27,Alagoas,AL,2,Nordeste,NE,334.342
2703007,Ibateguara,-8.954198492760115,-35.89616660548708,27,Alagoas,AL,2,Nordeste,NE,265.313
2703304,Inhapi,-9.271791575533065,-37.69219432194841,27,Alagoas,AL,2,Nordeste,NE,372.019
2703403,Jacaré dos Homens,-9.652047660303747,-37.227846583776795,27,Alagoas,AL,2,Nordeste,NE,149.332
2703205,Igreja Nova,-10.138306102189762,-36.619098458593,27,Alagoas,AL,2,Nordeste,NE,428.023
2702553,Estrela de Alagoas,-9.393419727333685,-36.770239381222254,27,Alagoas,AL,2,Nordeste,NE,260.615
2702603,Feira Grande,-9.88931986042435,-36.66288969399327,27,Alagoas,AL,2,Nordeste,NE,175.906
2702504,Dois Riachos,-9.381338455362256,-37.068976774850704,27,Alagoas,AL,2,Nordeste,NE,142.364
2702801,Flexeiras,-9.245146434304536,-35.76389939182991,27,Alagoas,AL,2,Nordeste,NE,333.756
2702900,Girau do Ponciano,-9.79270003639959,-36.850557630841976,27,Alagoas,AL,2,Nordeste,NE,517.85
2702702,Feliz Deserto,-10.283334106276124,-36.335913382250574,27,Alagoas,AL,2,Nordeste,NE,110.062
2702108,Colônia Leopoldina,-8.938901200649875,-35.7614905701994,27,Alagoas,AL,2,Nordeste,NE,201.461
2701902,Chã Preta,-9.242402711826031,-36.28178251742454,27,Alagoas,AL,2,Nordeste,NE,157.831
2702009,Coité do Nóia,-9.629614123651558,-36.58217968165879,27,Alagoas,AL,2,Nordeste,NE,88.334
2702306,Coruripe,-10.08245753879376,-36.23063376215458,27,Alagoas,AL,2,Nordeste,NE,897.431
2702405,Delmiro Gouveia,-9.3976197255684,-38.04711800426216,27,Alagoas,AL,2,Nordeste,NE,628.547
2702355,Craíbas,-9.629400786932631,-36.78774052162606,27,Alagoas,AL,2,Nordeste,NE,277.617
2702207,Coqueiro Seco,-9.642261461647848,-35.808737516748984,27,Alagoas,AL,2,Nordeste,NE,39.608
2701605,Canapi,-9.124697683434698,-37.5280833173023,27,Alagoas,AL,2,Nordeste,NE,600.879
2701407,Campo Alegre,-9.814856013115685,-36.28292741619808,27,Alagoas,AL,2,Nordeste,NE,312.726
2701506,Campo Grande,-9.967195154911373,-36.74632385068372,27,Alagoas,AL,2,Nordeste,NE,170.145
2701803,Carneiros,-9.46195888632969,-37.3657636576181,27,Alagoas,AL,2,Nordeste,NE,111.695
2701704,Capela,-9.345117381604378,-36.09173103030179,27,Alagoas,AL,2,Nordeste,NE,253.168
2709202,Traipu,-9.897555105247983,-36.96917362137713,27,Alagoas,AL,2,Nordeste,NE,680.0
2701001,Boca da Mata,-9.668908769931358,-36.17825684032264,27,Alagoas,AL,2,Nordeste,NE,192.952
2709301,União dos Palmares,-9.12033563225431,-36.01432850763331,27,Alagoas,AL,2,Nordeste,NE,420.081
2701100,Branquinha,-9.222991505408134,-36.04206875867096,27,Alagoas,AL,2,Nordeste,NE,168.343
2709103,Taquarana,-9.624663463500237,-36.495311727325976,27,Alagoas,AL,2,Nordeste,NE,153.833
2700904,Belo Monte,-9.817687368975573,-37.19270872623858,27,Alagoas,AL,2,Nordeste,NE,322.887
