CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
1302801,Maraã,-2.421947,-65.042889,13,Amazonas,AM,1,Norte,N,16805.602
1302702,Manicoré,-6.45833,-61.443876,13,Amazonas,AM,1,Norte,N,48429.767
1303007,Nhamundá,-1.681628,-57.65498,13,Amazonas,AM,1,Norte,N,14077.252
1303106,Nova Olinda do Norte,-3.98887,-58.599857,13,Amazonas,AM,1,Norte,N,5573.414
1302900,Maués,-4.983824,-58.059345,13,Amazonas,AM,1,Norte,N,39973.673
1302207,Juruá,-3.51882,-66.309364,13,Amazonas,AM,1,Norte,N,19300.464
1302504,Manacapuru,-3.288452,-60.961551,13,Amazonas,AM,1,Norte,N,7318.909
1302553,Manaquiri,-3.77501,-60.697674,13,Amazonas,AM,1,Norte,N,4016.877
1301704,Humaitá,-7.360898,-62.486687,13,Amazonas,AM,1,Norte,N,33113.788
1301803,Ipixuna,-7.172942,-71.417478,13,Amazonas,AM,1,Norte,N,12437.643
1301654,Guajará,-7.236546,-72.830265,13,Amazonas,AM,1,Norte,N,7427.071
1302009,Itapiranga,-2.496756,-58.616015,13,Amazonas,AM,1,Norte,N,4287.62
1301951,Itamarati,-6.680539,-68.115768,13,Amazonas,AM,1,Norte,N,25509.236
1301902,Itacoatiara,-3.173388,-58.775827,13,Amazonas,AM,1,Norte,N,8882.186
1301209,Coari,-4.443178,-64.128097,13,Amazonas,AM,1,Norte,N,57894.132
1301308,Codajás,-3.278243,-62.986721,13,Amazonas,AM,1,Norte,N,19038.052
1301100,Careiro,-3.772811,-60.185154,13,Amazonas,AM,1,Norte,N,6100.302
1301159,Careiro da Várzea,-3.287483,-59.602666,13,Amazonas,AM,1,Norte,N,2655.729
1301506,Envira,-7.575902,-70.059145,13,Amazonas,AM,1,Norte,N,7419.658
1301407,Eirunepé,-7.018161,-70.21349,13,Amazonas,AM,1,Norte,N,15189.428
1300680,Boa Vista do Ramos,-3.138754,-57.670138,13,Amazonas,AM,1,Norte,N,2613.997
1300805,Borba,-4.967537,-59.535627,13,Amazonas,AM,1,Norte,N,44644.015
1300607,Benjamin Constant,-5.428561,-70.270931,13,Amazonas,AM,1,Norte,N,9100.432
1300631,Beruri,-4.605305,-61.804664,13,Amazonas,AM,1,Norte,N,17415.813
1301001,Carauari,-5.113392,-67.332609,13,Amazonas,AM,1,Norte,N,25771.943
1300839,Caapiranga,-3.073718,-61.87379,13,Amazonas,AM,1,Norte,N,9743.918
1300904,Canutama,-7.29782,-64.062558,13,Amazonas,AM,1,Norte,N,33671.791
1300201,Atalaia do Norte,-5.713687,-71.747523,13,Amazonas,AM,1,Norte,N,76313.455
1300102,Anori,-4.200936,-62.095889,13,Amazonas,AM,1,Norte,N,6084.881
1300086,Anamã,-3.499693,-61.731268,13,Amazonas,AM,1,Norte,N,2382.521
1300060,Amaturá,-3.417131,-68.278118,13,Amazonas,AM,1,Norte,N,4658.391
1300144,Apuí,-7.770696,-59.427379,13,Amazonas,AM,1,Norte,N,53617.189
1300508,Barreirinha,-3.128201,-57.17438,13,Amazonas,AM,1,Norte,N,5658.561
1300300,Autazes,-3.784336,-59.523153,13,Amazonas,AM,1,Norte,N,7564.727
1300409,Barcelos,-0.465668,-63.433986,13,Amazonas,AM,1,Norte,N,122453.454
1300029,Alvarães,-3.696851,-65.329769,13,Amazonas,AM,1,Norte,N,5964.611
1304302,Urucará,-0.889659,-59.031907,13,Amazonas,AM,1,Norte,N,27851.365
1304260,Uarini,-3.159532,-65.411357,13,Amazonas,AM,1,Norte,N,10323.306
1304203,Tefé,-4.470067,-65.52936,13,Amazonas,AM,1,Norte,N,23835.224
1304401,Urucurituba,-2.813114,-57.772391,13,Amazonas,AM,1,Norte,N,2897.547
1303809,São Gabriel da Cachoeira,0.368414,-67.994845,13,Amazonas,AM,1,Norte,N,108700.19
1303700,Santo Antônio do Içá,-3.047436,-69.095113,13,Amazonas,AM,1,Norte,N,12482.067
1304062,Tabatinga,-4.028453,-69.678354,13,Amazonas,AM,1,Norte,N,3279.046
1304104,Tapauá,-6.095999,-64.956332,13,Amazonas,AM,1,Norte,N,84697.765
1303908,São Paulo de Olivença,-4.478674,-69.427357,13,Amazonas,AM,1,Norte,N,19615.643
1304005,Silves,-2.820247,-58.536628,13,Amazonas,AM,1,Norte,N,3723.18
1303957,São Sebastião do Uatumã,-1.945386,-58.698912,13,Amazonas,AM,1,Norte,N,10712.222
1303304,Novo Aripuanã,-6.825417,-60.471837,13,Amazonas,AM,1,Norte,N,41382.864
1303205,Novo Airão,-2.032963,-61.680688,13,Amazonas,AM,1,Norte,N,37755.384
1303536,Presidente Figueiredo,-1.369041,-59.976536,13,Amazonas,AM,1,Norte,N,25027.907
1303502,Pauini,-7.757971,-68.200956,13,Amazonas,AM,1,Norte,N,41637.294
1303601,Santa Isabel do Rio Negro,-0.316633,-65.515615,13,Amazonas,AM,1,Norte,N,62470.219
1303569,Rio Preto da Eva,-2.529362,-59.63827,13,Amazonas,AM,1,Norte,N,5812.425
1303403,Parintins,-2.694307,-56.857006,13,Amazonas,AM,1,Norte,N,6044.053
1304237,Tonantins,-2.692312,-67.834217,13,Amazonas,AM,1,Norte,N,6336.62
1301605,Fonte Boa,-2.493501,-66.368649,13,Amazonas,AM,1,Norte,N,12163.987
1302306,Jutaí,-4.712526,-68.396953,13,Amazonas,AM,1,Norte,N,68971.126
1302108,Japurá,-1.687499,-68.325272,13,Amazonas,AM,1,Norte,N,55964.231
1300706,Boca do Acre,-8.772351,-68.048602,13,Amazonas,AM,1,Norte,N,21949.686
1302405,Lábrea,-8.375418,-65.812101,13,Amazonas,AM,1,Norte,N,68349.909
1301852,Iranduba,-3.093195,-60.470524,13,Amazonas,AM,1,Norte,N,2331.676
1302603,Manaus,-2.621059,-60.25877,13,Amazonas,AM,1,Norte,N,11278.893
