CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
1600808,Vitória do Jari,-0.99645,-52.061157,16,Amapá,AP,1,Norte,N,2508.979
1600600,Santana,0.129792,-51.378362,16,Amapá,AP,1,Norte,N,1541.225
1600709,Tartarugalzinho,1.297569,-50.99256,16,Amapá,AP,1,Norte,N,6684.705
1600253,Itaubal,0.538383,-50.640245,16,Amapá,AP,1,Norte,N,1622.867
1600238,Ferreira Gomes,0.95703,-51.417274,16,Amapá,AP,1,Norte,N,4973.855
1600212,Cutias,1.035629,-50.487043,16,Amapá,AP,1,Norte,N,2179.114
1600204,Calçoene,2.423875,-51.406785,16,Amapá,AP,1,Norte,N,14117.297
1600303,Macapá,0.562999,-50.691696,16,Amapá,AP,1,Norte,N,6563.849
1600279,Laranjal do Jari,1.09226,-53.303658,16,Amapá,AP,1,Norte,N,30542.284
1600105,Amapá,1.746607,-50.592315,16,Amapá,AP,1,Norte,N,8454.846
1600154,Pedra Branca do Amapari,1.157502,-52.519493,16,Amapá,AP,1,Norte,N,9622.29
1600501,Oiapoque,3.110602,-51.900457,16,Amapá,AP,1,Norte,N,23058.224
1600550,Pracuúba,1.625886,-51.27843,16,Amapá,AP,1,Norte,N,4948.508
1600535,Porto Grande,0.585628,-51.669932,16,Amapá,AP,1,Norte,N,4428.013
1600402,Mazagão,-0.066909,-51.951167,16,Amapá,AP,1,Norte,N,13294.778
1600055,Serra do Navio,1.651671,-52.268132,16,Amapá,AP,1,Norte,N,7713.046
