CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2905909,Campo Alegre de Lourdes,-9.5616862183818,-43.15883748341809,29,Bahia,BA,2,Nordeste,NE,2914.573
2922052,Mulungu do Morro,-11.977779662600742,-41.52394968045703,29,Bahia,BA,2,Nordeste,NE,646.621
2913903,Ipiaú,-14.054860411183345,-39.726508615878934,29,Bahia,BA,2,Nordeste,NE,280.454
2930204,Sento Sé,-10.107673084439226,-41.64839535387365,29,Bahia,BA,2,Nordeste,NE,11980.158
2905701,Camaçari,-12.665960086668095,-38.206269388337226,29,Bahia,BA,2,Nordeste,NE,785.421
2922003,Mucuri,-18.059345348779544,-39.86702180989447,29,Bahia,BA,2,Nordeste,NE,1787.422
2930006,Sebastião Laranjeiras,-14.573331970465132,-43.1267422265093,29,Bahia,BA,2,Nordeste,NE,1982.037
2921807,Mortugaba,-14.972618086938569,-42.320267101245214,29,Bahia,BA,2,Nordeste,NE,528.214
2914307,Iramaia,-13.468679571243023,-40.92085538121268,29,Bahia,BA,2,Nordeste,NE,1708.114
2930105,Senhor do Bonfim,-10.484160981580192,-40.115245771413576,29,Bahia,BA,2,Nordeste,NE,789.36
2921906,Mucugê,-13.06496836953479,-41.47494309621586,29,Bahia,BA,2,Nordeste,NE,2462.689
2906105,Canápolis,-13.096591106977192,-44.20356424628234,29,Bahia,BA,2,Nordeste,NE,460.388
2929404,São Miguel das Matas,-13.054139091756664,-39.42333373980426,29,Bahia,BA,2,Nordeste,NE,230.906
2921203,Miguel Calmon,-11.420695937801119,-40.62420724532357,29,Bahia,BA,2,Nordeste,NE,1599.673
2929370,São José do Jacuípe,-11.440040376320002,-39.91030140413905,29,Bahia,BA,2,Nordeste,NE,362.365
2929354,São José da Vitória,-15.07344372213663,-39.35379038850092,29,Bahia,BA,2,Nordeste,NE,127.925
2929255,São Gabriel,-11.066390385955602,-41.698181739700686,29,Bahia,BA,2,Nordeste,NE,1146.054
2914208,Irajuba,-13.23071522689671,-40.05229248212077,29,Bahia,BA,2,Nordeste,NE,459.047
2921054,Matina,-13.848776578589524,-42.939986789938075,29,Bahia,BA,2,Nordeste,NE,773.852
2906006,Campo Formoso,-10.251103299081874,-40.72881958842985,29,Bahia,BA,2,Nordeste,NE,7161.83
2913507,Iguaí,-14.632349469358447,-40.06584395613974,29,Bahia,BA,2,Nordeste,NE,860.223
2929305,São Gonçalo dos Campos,-12.417182357069963,-38.94137637760987,29,Bahia,BA,2,Nordeste,NE,294.768
2921104,Medeiros Neto,-17.361504248832336,-40.28531745159179,29,Bahia,BA,2,Nordeste,NE,1314.108
