CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2312809,Senador Sá,-3.270066,-40.461043,23,Ceará,CE,2,Nordeste,NE,424.642
2304608,General Sampaio,-4.063918,-39.45111,23,Ceará,CE,2,Nordeste,NE,230.371
2304707,Granja,-3.23051,-41.001539,23,Ceará,CE,2,Nordeste,NE,2663.178
2304657,Graça,-4.045702,-40.773994,23,Ceará,CE,2,Nordeste,NE,258.943
2313203,Tamboril,-4.919583,-40.33575,23,Ceará,CE,2,Nordeste,NE,2011.781
2305001,Guaraciaba do Norte,-4.232748,-40.915351,23,Ceará,CE,2,Nordeste,NE,624.61
2313252,Tarrafas,-6.73017,-39.737777,23,Ceará,CE,2,Nordeste,NE,412.719
2304954,Guaiúba,-4.102246,-38.669841,23,Ceará,CE,2,Nordeste,NE,256.053
2313104,Tabuleiro do Norte,-5.361141,-38.027232,23,Ceará,CE,2,Nordeste,NE,1047.637
2304905,Groaíras,-3.912352,-40.365311,23,Ceará,CE,2,Nordeste,NE,155.68
2304251,Cruz,-2.896545,-40.323264,23,Ceará,CE,2,Nordeste,NE,335.921
2304236,Croatá,-4.387726,-40.975075,23,Ceará,CE,2,Nordeste,NE,696.351
2312403,São Gonçalo do Amarante,-3.600559,-39.060484,23,Ceará,CE,2,Nordeste,NE,842.679
2304202,Crato,-7.235602,-39.489952,23,Ceará,CE,2,Nordeste,NE,1138.15
2312502,São João do Jaguaribe,-5.325948,-38.273332,23,Ceará,CE,2,Nordeste,NE,279.451
2304301,Farias Brito,-6.909454,-39.549065,23,Ceará,CE,2,Nordeste,NE,530.54
2304285,Eusébio,-3.875976,-38.457597,23,Ceará,CE,2,Nordeste,NE,78.818
2304277,Ereré,-5.986435,-38.308672,23,Ceará,CE,2,Nordeste,NE,349.034
2304269,Deputado Irapuan Pinheiro,-5.887025,-39.266162,23,Ceará,CE,2,Nordeste,NE,471.134
2312304,São Benedito,-4.040862,-40.969477,23,Ceará,CE,2,Nordeste,NE,350.847
2304103,Crateús,-5.199314,-40.71952,23,Ceará,CE,2,Nordeste,NE,2981.462
2312700,Senador Pompeu,-5.58695,-39.433471,23,Ceará,CE,2,Nordeste,NE,963.256
2304509,Frecheirinha,-3.710808,-40.822763,23,Ceará,CE,2,Nordeste,NE,210.284
2304459,Fortim,-4.464393,-37.873693,23,Ceará,CE,2,Nordeste,NE,285.024
2304350,Forquilha,-3.822345,-40.225467,23,Ceará,CE,2,Nordeste,NE,568.778
2312601,São Luís do Curu,-3.646298,-39.26448,23,Ceará,CE,2,Nordeste,NE,122.865
2304400,Fortaleza,-3.785836,-38.527994,23,Ceará,CE,2,Nordeste,NE,312.353
2311900,Saboeiro,-6.484283,-39.888593,23,Ceará,CE,2,Nordeste,NE,1381.274
2303709,Caucaia,-3.783572,-38.809671,23,Ceará,CE,2,Nordeste,NE,1223.199
2303808,Cedro,-6.569754,-39.093174,23,Ceará,CE,2,Nordeste,NE,729.97
2311959,Salitre,-7.204765,-40.366322,23,Ceará,CE,2,Nordeste,NE,806.254
2311801,Russas,-4.848631,-38.129445,23,Ceará,CE,2,Nordeste,NE,1505.726
2303600,Catarina,-6.252767,-39.909643,23,Ceará,CE,2,Nordeste,NE,488.153
2303659,Catunda,-4.629552,-40.175003,23,Ceará,CE,2,Nordeste,NE,784.022
2304004,Coreaú,-3.641519,-40.726357,23,Ceará,CE,2,Nordeste,NE,750.333
2303956,Chorozinho,-4.302325,-38.468332,23,Ceará,CE,2,Nordeste,NE,296.431
2312205,Santa Quitéria,-4.340839,-40.04191,23,Ceará,CE,2,Nordeste,NE,4262.293
2312007,Santana do Acaraú,-3.461034,-40.164691,23,Ceará,CE,2,Nordeste,NE,972.551
2303931,Choró,-4.772295,-39.191069,23,Ceará,CE,2,Nordeste,NE,815.268
2312106,Santana do Cariri,-7.221934,-39.756533,23,Ceará,CE,2,Nordeste,NE,855.159
2303907,Chaval,-3.09264,-41.232562,23,Ceará,CE,2,Nordeste,NE,237.239
2311405,Quixeramobim,-5.244548,-39.331492,23,Ceará,CE,2,Nordeste,NE,3302.144
2303204,Caririaçu,-7.021824,-39.274858,23,Ceará,CE,2,Nordeste,NE,634.179
2303105,Cariré,-3.95189,-40.521673,23,Ceará,CE,2,Nordeste,NE,755.597
2311264,Quiterianópolis,-5.875183,-40.762143,23,Ceará,CE,2,Nordeste,NE,1022.896
2311355,Quixelô,-6.177427,-39.124149,23,Ceará,CE,2,Nordeste,NE,620.242
2311306,Quixadá,-4.95448,-38.946988,23,Ceará,CE,2,Nordeste,NE,2020.587
2311702,Reriutaba,-4.12085,-40.613267,23,Ceará,CE,2,Nordeste,NE,372.949
2303501,Cascavel,-4.239037,-38.297092,23,Ceará,CE,2,Nordeste,NE,838.115
2311504,Quixeré,-5.087213,-37.863893,23,Ceará,CE,2,Nordeste,NE,609.438
2303303,Cariús,-6.641987,-39.464076,23,Ceará,CE,2,Nordeste,NE,1036.417
2311603,Redenção,-4.245603,-38.762366,23,Ceará,CE,2,Nordeste,NE,247.989
2303402,Carnaubal,-4.130121,-41.010197,23,Ceará,CE,2,Nordeste,NE,363.212
2310902,Piquet Carneiro,-5.862949,-39.451676,23,Ceará,CE,2,Nordeste,NE,589.601
2302701,Campos Sales,-6.936701,-40.2713,23,Ceará,CE,2,Nordeste,NE,1082.581
2310951,Pires Ferreira,-4.25915,-40.584235,23,Ceará,CE,2,Nordeste,NE,244.464
2310852,Pindoretama,-4.054622,-38.305332,23,Ceará,CE,2,Nordeste,NE,74.033
2310803,Pereiro,-6.037954,-38.485805,23,Ceará,CE,2,Nordeste,NE,449.74
2302602,Camocim,-2.949802,-40.800783,23,Ceará,CE,2,Nordeste,NE,1120.449
2311231,Potiretama,-5.749559,-38.167611,23,Ceará,CE,2,Nordeste,NE,409.137
2311207,Potengi,-7.07267,-40.036388,23,Ceará,CE,2,Nordeste,NE,343.264
2303006,Caridade,-4.203775,-39.109878,23,Ceará,CE,2,Nordeste,NE,926.271
2311009,Poranga,-4.799478,-41.077426,23,Ceará,CE,2,Nordeste,NE,1310.768
2311108,Porteiras,-7.541973,-39.106833,23,Ceará,CE,2,Nordeste,NE,224.86
2302800,Canindé,-4.402236,-39.430286,23,Ceará,CE,2,Nordeste,NE,3032.39
2302909,Capistrano,-4.467833,-38.907949,23,Ceará,CE,2,Nordeste,NE,226.549
2302206,Beberibe,-4.401705,-38.112889,23,Ceará,CE,2,Nordeste,NE,1596.75
2310407,Paramoti,-4.159804,-39.377036,23,Ceará,CE,2,Nordeste,NE,539.238
2310258,Paraipaba,-3.422267,-39.179293,23,Ceará,CE,2,Nordeste,NE,289.231
2302057,Barroquinha,-2.970633,-41.173635,23,Ceará,CE,2,Nordeste,NE,385.59
2310308,Parambu,-6.304021,-40.627664,23,Ceará,CE,2,Nordeste,NE,2313.868
2302107,Baturité,-4.383369,-38.851023,23,Ceará,CE,2,Nordeste,NE,314.075
2310605,Penaforte,-7.780413,-39.053956,23,Ceará,CE,2,Nordeste,NE,150.536
2310704,Pentecoste,-3.853858,-39.146003,23,Ceará,CE,2,Nordeste,NE,1379.836
2302503,Brejo Santo,-7.55577,-38.921259,23,Ceará,CE,2,Nordeste,NE,654.658
2310506,Pedra Branca,-5.495948,-39.843978,23,Ceará,CE,2,Nordeste,NE,1328.779
2302305,Bela Cruz,-3.053467,-40.307972,23,Ceará,CE,2,Nordeste,NE,842.106
2302404,Boa Viagem,-5.087765,-39.807907,23,Ceará,CE,2,Nordeste,NE,2835.037
