CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
3205200,Vila Velha,-20.434057043695482,-40.378228278106924,32,Espírito Santo,ES,3,Sudeste,SE,210.225
3205309,Vitória,-20.340600282370843,-39.0330137539823,32,Espírito Santo,ES,3,Sudeste,SE,97.124
3204807,São José do Calçado,-20.982783243975557,-41.65565698314062,32,Espírito Santo,ES,3,Sudeste,SE,273.489
3204906,São Mateus,-18.749622384421034,-40.02036090162003,32,Espírito Santo,ES,3,Sudeste,SE,2346.048
3204708,São Gabriel da Palha,-18.952699055660627,-40.50843275506486,32,Espírito Santo,ES,3,Sudeste,SE,434.887
3205101,Viana,-20.401045020457904,-40.51273038769714,32,Espírito Santo,ES,3,Sudeste,SE,312.278
3205069,Venda Nova do Imigrante,-20.370424748999767,-41.14022531020335,32,Espírito Santo,ES,3,Sudeste,SE,185.909
3205176,Vila Valério,-18.96656663344043,-40.32948327868289,32,Espírito Santo,ES,3,Sudeste,SE,470.342
3205150,Vila Pavão,-18.61423322748927,-40.627150380621934,32,Espírito Santo,ES,3,Sudeste,SE,433.257
3204955,São Roque do Canaã,-19.719706240822884,-40.679472839224886,32,Espírito Santo,ES,3,Sudeste,SE,341.944
3205036,Vargem Alta,-20.647060924469635,-41.00493797222634,32,Espírito Santo,ES,3,Sudeste,SE,417.76
3205010,Sooretama,-19.072624472773366,-40.146623954151075,32,Espírito Santo,ES,3,Sudeste,SE,587.037
3205002,Serra,-20.12811252077197,-40.30161686765922,32,Espírito Santo,ES,3,Sudeste,SE,547.631
3204351,Rio Bananal,-19.230463059681323,-40.30821841593882,32,Espírito Santo,ES,3,Sudeste,SE,641.929
3204302,Presidente Kennedy,-21.140730952835057,-41.07207957716445,32,Espírito Santo,ES,3,Sudeste,SE,594.897
3204401,Rio Novo do Sul,-20.818082634292615,-40.91873291305584,32,Espírito Santo,ES,3,Sudeste,SE,204.464
3204203,Piúma,-20.837555479158016,-40.772375061848194,32,Espírito Santo,ES,3,Sudeste,SE,73.623
3204252,Ponto Belo,-18.250761209786113,-40.51424962434429,32,Espírito Santo,ES,3,Sudeste,SE,360.11
