CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
5219357,Santa Isabel,-15.25132536,-49.3889325,52,Goiás,GO,5,Centro-oeste,CO,812.756
5210802,Itajá,-19.10133295,-51.31996645,52,Goiás,GO,5,Centro-oeste,CO,2082.737
5202601,Aurilândia,-16.69525224,-50.52530393,52,Goiás,GO,5,Centro-oeste,CO,565.514
5219258,Santa Fé de Goiás,-15.66737304,-51.17153102,52,Goiás,GO,5,Centro-oeste,CO,1164.186
5211206,Itapuranga,-15.54801699,-49.94972516,52,Goiás,GO,5,Centro-oeste,CO,1281.404
5219209,Santa Cruz de Goiás,-17.35983865,-48.59366491,52,Goiás,GO,5,Centro-oeste,CO,1109.007
5211008,Itapirapuã,-15.70289115,-50.77166177,52,Goiás,GO,5,Centro-oeste,CO,2047.873
5202809,Avelinópolis,-16.49286656,-49.76678984,52,Goiás,GO,5,Centro-oeste,CO,170.228
5218508,Quirinópolis,-18.43741144,-50.52915803,52,Goiás,GO,5,Centro-oeste,CO,3786.026
5218607,Rialma,-15.34075601,-49.53167406,52,Goiás,GO,5,Centro-oeste,CO,268.291
5218391,Professor Jamil,-17.27071176,-49.2449419,52,Goiás,GO,5,Centro-oeste,CO,356.292
5202155,Araguapaz,-15.13946406,-50.4395427,52,Goiás,GO,5,Centro-oeste,CO,2188.1
5210406,Itaberaí,-16.08082561,-49.82283573,52,Goiás,GO,5,Centro-oeste,CO,1461.916
5218805,Rio Verde,-17.73894263,-51.03877908,52,Goiás,GO,5,Centro-oeste,CO,8374.254
5218789,Rio Quente,-17.83207779,-48.78197225,52,Goiás,GO,5,Centro-oeste,CO,244.655
5210208,Iporá,-16.41652197,-51.18100917,52,Goiás,GO,5,Centro-oeste,CO,1027.249
5210307,Israelândia,-16.35767224,-50.88127939,52,Goiás,GO,5,Centro-oeste,CO,579.19
5210604,Itaguaru,-15.77317523,-49.61202351,52,Goiás,GO,5,Centro-oeste,CO,241.029
5202502,Aruanã,-14.8054921,-50.93759906,52,Goiás,GO,5,Centro-oeste,CO,3054.773
5218706,Rianápolis,-15.47261424,-49.44154747,52,Goiás,GO,5,Centro-oeste,CO,157.379
5218052,Porteirão,-17.90121783,-50.14790678,52,Goiás,GO,5,Centro-oeste,CO,606.273
5218003,Porangatu,-13.29207536,-49.23038045,52,Goiás,GO,5,Centro-oeste,CO,4825.287
5218102,Portelândia,-17.35130145,-52.70483174,52,Goiás,GO,5,Centro-oeste,CO,553.411
5210562,Itaguari,-15.93785989,-49.62450995,52,Goiás,GO,5,Centro-oeste,CO,142.652
5202353,Arenópolis,-16.35312931,-51.58532367,52,Goiás,GO,5,Centro-oeste,CO,1075.535
5209804,Hidrolina,-14.73954358,-49.36305513,52,Goiás,GO,5,Centro-oeste,CO,583.756
5209903,Iaciara,-14.09051209,-46.7550141,52,Goiás,GO,5,Centro-oeste,CO,1547.183
5218300,Posse,-14.22994819,-46.43552068,52,Goiás,GO,5,Centro-oeste,CO,2076.99
5201702,Aragarças,-15.96941254,-52.14598657,52,Goiás,GO,5,Centro-oeste,CO,661.673
5209705,Hidrolândia,-17.01150397,-49.26678533,52,Goiás,GO,5,Centro-oeste,CO,952.122
5201504,Aporé,-18.76839709,-52.04536818,52,Goiás,GO,5,Centro-oeste,CO,2899.237
5201603,Araçu,-16.36593443,-49.70082531,52,Goiás,GO,5,Centro-oeste,CO,149.776
5210109,Ipameri,-17.50540892,-48.05393492,52,Goiás,GO,5,Centro-oeste,CO,4382.863
5210158,Ipiranga de Goiás,-15.1689374,-49.66953523,52,Goiás,GO,5,Centro-oeste,CO,244.209
5209952,Indiara,-17.18514729,-49.96808146,52,Goiás,GO,5,Centro-oeste,CO,955.419
5209937,Inaciolândia,-18.50934532,-49.91557952,52,Goiás,GO,5,Centro-oeste,CO,689.201
5210000,Inhumas,-16.30759804,-49.51590679,52,Goiás,GO,5,Centro-oeste,CO,614.889
5217401,Pires do Rio,-17.27158547,-48.38890718,52,Goiás,GO,5,Centro-oeste,CO,1077.641
5201801,Aragoiânia,-16.95145789,-49.41874145,52,Goiás,GO,5,Centro-oeste,CO,218.125
5209291,Guaraíta,-15.67276256,-50.05017373,52,Goiás,GO,5,Centro-oeste,CO,205.533
5201108,Anápolis,-16.29057786,-48.97290297,52,Goiás,GO,5,Centro-oeste,CO,935.671
5209408,Guarani de Goiás,-13.88946175,-46.43236656,52,Goiás,GO,5,Centro-oeste,CO,1221.054
5201207,Anhanguera,-18.31236191,-48.22537851,52,Goiás,GO,5,Centro-oeste,CO,55.569
5209200,Guapó,-16.9115176,-49.57182054,52,Goiás,GO,5,Centro-oeste,CO,514.178
5209606,Heitoraí,-15.74364385,-49.78393518,52,Goiás,GO,5,Centro-oeste,CO,228.615
5201405,Aparecida de Goiânia,-16.80999002,-49.26247904,52,Goiás,GO,5,Centro-oeste,CO,279.954
5217609,Planaltina,-15.28445684,-47.7503605,52,Goiás,GO,5,Centro-oeste,CO,2558.922
5217708,Pontalina,-17.53103367,-49.53765579,52,Goiás,GO,5,Centro-oeste,CO,1434.289
5201454,Aparecida do Rio Doce,-18.21610434,-51.26293589,52,Goiás,GO,5,Centro-oeste,CO,603.254
5209457,Guarinos,-14.69930248,-49.73062835,52,Goiás,GO,5,Centro-oeste,CO,593.188
5201306,Anicuns,-16.39705892,-49.96783785,52,Goiás,GO,5,Centro-oeste,CO,976.038
