CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2100402,Altamira do Maranhão,-4.167023,-45.50281,21,Maranhão,MA,2,Nordeste,NE,524.374
2108900,Poção de Pedras,-4.786845,-44.911702,21,Maranhão,MA,2,Nordeste,NE,990.66
2100709,Anajatuba,-3.255626,-44.599223,21,Maranhão,MA,2,Nordeste,NE,940.489
2108801,Pirapemas,-3.78285,-44.172576,21,Maranhão,MA,2,Nordeste,NE,688.761
2100600,Amarante do Maranhão,-5.278125,-46.582007,21,Maranhão,MA,2,Nordeste,NE,7441.771
2108108,Paulo Ramos,-4.521936,-45.39429,21,Maranhão,MA,2,Nordeste,NE,1168.608
2108207,Pedreiras,-4.617818,-44.581342,21,Maranhão,MA,2,Nordeste,NE,261.814
2108009,Pastos Bons,-6.632139,-44.180547,21,Maranhão,MA,2,Nordeste,NE,1635.178
2108058,Paulino Neves,-2.854626,-42.610924,21,Maranhão,MA,2,Nordeste,NE,979.482
2108405,Peri Mirim,-2.570574,-44.895809,21,Maranhão,MA,2,Nordeste,NE,397.993
2100204,Alcântara,-2.379261,-44.53986,21,Maranhão,MA,2,Nordeste,NE,1167.964
2108454,Peritoró,-4.419848,-44.281174,21,Maranhão,MA,2,Nordeste,NE,824.72
2108256,Pedro do Rosário,-2.988983,-45.430742,21,Maranhão,MA,2,Nordeste,NE,1753.867
2100055,Açailândia,-4.785785,-47.332271,21,Maranhão,MA,2,Nordeste,NE,5805.158
2100154,Água Doce do Maranhão,-2.946402,-42.166194,21,Maranhão,MA,2,Nordeste,NE,442.292
2108306,Penalva,-3.251581,-45.297767,21,Maranhão,MA,2,Nordeste,NE,800.916
2100105,Afonso Cunha,-4.214781,-43.297359,21,Maranhão,MA,2,Nordeste,NE,371.767
2107605,Palmeirândia,-2.691979,-45.023382,21,Maranhão,MA,2,Nordeste,NE,532.161
2107704,Paraibano,-6.40379,-43.92399,21,Maranhão,MA,2,Nordeste,NE,530.517
2107506,Paço do Lumiar,-2.5052,-44.124106,21,Maranhão,MA,2,Nordeste,NE,127.275
2107902,Passagem Franca,-6.15267,-43.758352,21,Maranhão,MA,2,Nordeste,NE,1358.327
2107803,Parnarama,-5.637909,-43.462944,21,Maranhão,MA,2,Nordeste,NE,3246.503
2107100,Morros,-2.974086,-43.776731,21,Maranhão,MA,2,Nordeste,NE,1712.121
2107001,Montes Altos,-5.85791,-47.041481,21,Maranhão,MA,2,Nordeste,NE,1489.198
2107357,Nova Olinda do Maranhão,-2.895945,-45.955187,21,Maranhão,MA,2,Nordeste,NE,2452.615
2107456,Olinda Nova do Maranhão,-2.97556,-45.008849,21,Maranhão,MA,2,Nordeste,NE,199.879
