CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
3118205,Conquista,-19.883538902095214,-47.62388181173327,31,Minas Gerais,MG,3,Sudeste,SE,618.363
3110806,Campanário,-18.28395178617132,-41.73438976733101,31,Minas Gerais,MG,3,Sudeste,SE,442.398
3167509,Simão Pereira,-21.964229016464724,-43.29298403092299,31,Minas Gerais,MG,3,Sudeste,SE,135.689
3102605,Andradas,-22.075757742572584,-46.55475959990907,31,Minas Gerais,MG,3,Sudeste,SE,469.396
3159308,Santa Rita de Jacutinga,-22.10151872925526,-44.091826685819015,31,Minas Gerais,MG,3,Sudeste,SE,420.94
3142809,Monte Alegre de Minas,-18.844511924582736,-48.88680606758016,31,Minas Gerais,MG,3,Sudeste,SE,2595.957
3110103,Caiana,-20.72530531392782,-41.90841585739607,31,Minas Gerais,MG,3,Sudeste,SE,106.465
3134608,Jaboticatubas,-19.440749728151268,-43.71811183888792,31,Minas Gerais,MG,3,Sudeste,SE,1114.972
3101904,Alpinópolis,-20.859498623478064,-46.37614783806163,31,Minas Gerais,MG,3,Sudeste,SE,460.685
3143153,Monte Formoso,-16.87734630258825,-41.26628081550969,31,Minas Gerais,MG,3,Sudeste,SE,385.553
3110202,Cajuri,-20.78530938321071,-42.76414979528124,31,Minas Gerais,MG,3,Sudeste,SE,83.038
3167400,Silvianópolis,-22.0368925500276,-45.80557117732779,31,Minas Gerais,MG,3,Sudeste,SE,312.166
3102001,Alterosa,-21.22522434923161,-46.15360371041055,31,Minas Gerais,MG,3,Sudeste,SE,362.01
3159209,Santa Rita de Caldas,-22.02368580756616,-46.271336804528886,31,Minas Gerais,MG,3,Sudeste,SE,503.011
3126752,Franciscópolis,-17.993314348635018,-41.96790956363109,31,Minas Gerais,MG,3,Sudeste,SE,717.087
3151008,Piranguinho,-22.362973504875036,-45.58657518094606,31,Minas Gerais,MG,3,Sudeste,SE,124.803
3110004,Caeté,-19.867725365920677,-43.6368648340556,31,Minas Gerais,MG,3,Sudeste,SE,542.531
3143203,Monte Santo de Minas,-21.18838013882505,-46.94665152900883,31,Minas Gerais,MG,3,Sudeste,SE,594.632
3101805,Alpercata,-18.98373649884716,-42.019184300773226,31,Minas Gerais,MG,3,Sudeste,SE,166.972
3167707,Sobrália,-19.21822091695268,-42.145866459438416,31,Minas Gerais,MG,3,Sudeste,SE,206.787
3135001,Jaguaraçu,-19.63757600557698,-42.71817875171607,31,Minas Gerais,MG,3,Sudeste,SE,163.76
3126802,Frei Gaspar,-18.13967092107633,-41.51066529722534,31,Minas Gerais,MG,3,Sudeste,SE,626.672
3159506,Santa Rita do Itueto,-19.412784111124992,-41.38867739540163,31,Minas Gerais,MG,3,Sudeste,SE,485.081
3167806,Soledade de Minas,-22.02695492953396,-45.02760818981113,31,Minas Gerais,MG,3,Sudeste,SE,196.866
3143005,Monte Belo,-21.314748908149173,-46.326392176132735,31,Minas Gerais,MG,3,Sudeste,SE,421.283
3118601,Contagem,-19.887171360791275,-44.08399926529037,31,Minas Gerais,MG,3,Sudeste,SE,194.732
3151305,Piraúba,-21.26378251408136,-43.02969926370119,31,Minas Gerais,MG,3,Sudeste,SE,144.289
3159605,Santa Rita do Sapucaí,-22.23705167884652,-45.68273620176238,31,Minas Gerais,MG,3,Sudeste,SE,352.969
