CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
5006903,Porto Murtinho,-21.224722,-57.383392,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,17502.994
5006002,Nova Alvorada do Sul,-21.491199,-54.216509,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4027.647
5006309,Paranaíba,-19.530167,-51.392694,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5352.02
5006358,Paranhos,-23.71111,-55.356023,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1307.092
5006200,Nova Andradina,-21.925423,-53.421687,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4768.118
5006275,Paraíso das Águas,-19.228135,-53.130191,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5061.433
5006259,Novo Horizonte do Sul,-22.603065,-53.781888,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,849.19
5005608,Miranda,-20.121086,-56.59663,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5470.975
5005400,Maracaju,-21.543177,-55.397023,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5396.905
5005806,Nioaque,-21.1007,-55.901485,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3909.738
5005681,Mundo Novo,-23.9427,-54.274189,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,478.38
5005707,Naviraí,-23.022589,-54.025788,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3189.667
5005004,Jardim,-21.582208,-56.353743,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2130.068
5005103,Jateí,-22.706865,-53.957512,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1933.316
5004908,Jaraguari,-20.227339,-54.348384,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2913.558
5005152,Juti,-22.776276,-54.488815,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1569.176
5005251,Laguna Carapã,-22.677417,-55.132168,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1725.78
5005202,Ladário,-19.103053,-57.568811,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,354.255
5004502,Itaporã,-22.005306,-54.87345,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1342.389
5004601,Itaquiraí,-23.341501,-54.119174,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2063.717
5004403,Inocência,-19.657503,-52.021905,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5761.186
5004809,Japorã,-23.810778,-54.538097,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,416.605
5004700,Ivinhema,-22.371508,-53.799149,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2003.43
5004007,Glória de Dourados,-22.427293,-54.19244,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,493.105
5003900,Figueirão,-18.744457,-53.86227,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4880.736
5004304,Iguatemi,-23.43407,-54.538271,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2957.41
5004106,Guia Lopes da Laguna,-21.541587,-55.996206,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1225.426
5003504,Douradina,-22.013883,-54.587675,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,280.235
5003488,Dois Irmãos do Buriti,-20.600222,-55.362451,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2430.3
5003454,Deodápolis,-22.156018,-54.152064,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,828.45
5003751,Eldorado,-23.738209,-54.2251,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1012.796
5003801,Fátima do Sul,-22.33933,-54.440752,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,325.631
5003702,Dourados,-22.145181,-54.838844,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4062.889
5002951,Chapadão do Sul,-18.994318,-52.69811,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3252.327
5002902,Cassilândia,-19.09769,-52.173416,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3711.715
5003256,Costa Rica,-18.518594,-53.203031,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4159.384
5003207,Corumbá,-18.719679,-56.717602,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,64431.145
5003306,Coxim,-18.281012,-54.674392,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,6390.663
5003108,Corguinho,-19.807533,-55.057332,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2638.923
5003157,Coronel Sapucaia,-23.347696,-55.383118,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1023.727
5002407,Caarapó,-22.58829,-54.802685,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2115.73
5002704,Campo Grande,-20.913322,-54.250601,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,8082.327
5002803,Caracol,-21.942462,-57.09074,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2928.706
5002605,Camapuã,-19.341808,-53.869273,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,6238.127
5002001,Batayporã,-22.390631,-53.177576,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1826.578
5001904,Bataguassu,-21.805889,-52.572335,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2392.476
5002209,Bonito,-21.032974,-56.482574,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5378.723
5002308,Brasilândia,-21.076042,-52.434573,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5803.542
5002100,Bela Vista,-21.935862,-56.535242,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4956.473
5002159,Bodoquena,-20.548588,-56.699711,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2589.14
5001508,Bandeirantes,-19.805938,-54.305851,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3363.487
5000906,Antônio João,-22.208975,-55.961451,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1095.9
5001003,Aparecida do Taboado,-20.075578,-51.290074,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2751.485
5000807,Anaurilândia,-22.111407,-52.804752,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3415.657
5000856,Angélica,-22.062451,-53.865856,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1283.629
5001243,Aral Moreira,-22.907639,-55.450137,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1653.86
5001102,Aquidauana,-19.745978,-55.876918,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,17087.976
5000708,Anastácio,-20.696262,-55.772319,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2913.108
5000609,Amambai,-23.157774,-54.968062,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4193.742
5007976,Taquarussu,-22.667696,-53.430942,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1052.232
5007950,Tacuru,-23.649331,-54.990464,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1784.207
5008008,Terenos,-20.447318,-55.02416,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,2845.653
5000252,Alcinópolis,-18.209164,-53.749005,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4397.518
5008404,Vicentina,-22.469301,-54.423025,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,302.542
5000203,Água Clara,-19.962333,-52.927196,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,7781.558
5008305,Três Lagoas,-20.43847,-52.212029,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,10217.071
5007554,Santa Rita do Pardo,-21.319004,-52.774996,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,6142.001
5007505,Rochedo,-19.978616,-54.736637,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1304.755
5007935,Sonora,-17.648937,-54.431501,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,4185.542
5007901,Sidrolândia,-21.093717,-54.942003,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5265.695
5007703,Sete Quedas,-23.880639,-55.027826,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,839.117
5007695,São Gabriel do Oeste,-19.168798,-54.482523,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3850.674
5007802,Selvíria,-20.282073,-51.758215,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3254.917
5007109,Ribas do Rio Pardo,-20.595456,-53.544614,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,17315.212
5007307,Rio Negro,-19.446847,-54.962881,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,1828.8
5007406,Rio Verde de Mato Grosso,-18.813366,-55.042778,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,8174.784
5007208,Rio Brilhante,-21.696255,-54.558041,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3983.507
5006606,Ponta Porã,-22.202015,-55.583979,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,5359.274
5006408,Pedro Gomes,-17.914327,-54.338934,50,Mato Grosso do Sul,MS,5,Centro-oeste,CO,3553.782
