CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
5103700,Feliz Natal,-11.932791,-54.183282,51,Mato Grosso,MT,5,Centro-oeste,CO,11661.514
5103809,Figueirópolis D'Oeste,-15.527354,-58.702588,51,Mato Grosso,MT,5,Centro-oeste,CO,891.448
5104104,Guarantã do Norte,-9.776303,-54.621078,51,Mato Grosso,MT,5,Centro-oeste,CO,4725.273
5103957,Glória D'Oeste,-15.839164,-58.325364,51,Mato Grosso,MT,5,Centro-oeste,CO,833.131
5103361,Conquista D'Oeste,-14.634664,-59.33217,51,Mato Grosso,MT,5,Centro-oeste,CO,2684.676
5103353,Confresa,-10.404178,-51.698581,51,Mato Grosso,MT,5,Centro-oeste,CO,5802.302
5103304,Comodoro,-13.193274,-59.750464,51,Mato Grosso,MT,5,Centro-oeste,CO,21485.018
5103403,Cuiabá,-15.592395,-55.81901,51,Mato Grosso,MT,5,Centro-oeste,CO,4327.22
5103379,Cotriguaçu,-9.537452,-58.675283,51,Mato Grosso,MT,5,Centro-oeste,CO,9469.956
5103205,Colíder,-10.630873,-55.468626,51,Mato Grosso,MT,5,Centro-oeste,CO,3112.091
5103254,Colniza,-9.293147,-60.305214,51,Mato Grosso,MT,5,Centro-oeste,CO,27960.244
5103601,Dom Aquino,-15.656248,-54.776459,51,Mato Grosso,MT,5,Centro-oeste,CO,2183.603
5103452,Denise,-14.730061,-56.961613,51,Mato Grosso,MT,5,Centro-oeste,CO,1273.178
5103437,Curvelândia,-15.617085,-57.87645,51,Mato Grosso,MT,5,Centro-oeste,CO,357.212
5103502,Diamantino,-14.095921,-56.805186,51,Mato Grosso,MT,5,Centro-oeste,CO,8263.397
5102850,Castanheira,-10.940666,-58.602812,51,Mato Grosso,MT,5,Centro-oeste,CO,3713.465
5102793,Carlinda,-10.10637,-55.834098,51,Mato Grosso,MT,5,Centro-oeste,CO,2421.788
5102702,Canarana,-13.329921,-52.39923,51,Mato Grosso,MT,5,Centro-oeste,CO,10855.181
5102694,Canabrava do Norte,-11.201568,-51.823634,51,Mato Grosso,MT,5,Centro-oeste,CO,3449.037
5102686,Campos de Júlio,-13.579157,-59.192755,51,Mato Grosso,MT,5,Centro-oeste,CO,6792.808
5102678,Campo Verde,-15.344732,-54.957727,51,Mato Grosso,MT,5,Centro-oeste,CO,4771.091
5103106,Cocalinho,-13.868349,-51.147711,51,Mato Grosso,MT,5,Centro-oeste,CO,16563.136
5103056,Cláudia,-11.448152,-55.047761,51,Mato Grosso,MT,5,Centro-oeste,CO,3843.562
5103007,Chapada dos Guimarães,-15.120939,-55.552166,51,Mato Grosso,MT,5,Centro-oeste,CO,6603.253
5102637,Campo Novo do Parecis,-13.687974,-57.930998,51,Mato Grosso,MT,5,Centro-oeste,CO,9428.585
5102603,Campinápolis,-14.374328,-53.128457,51,Mato Grosso,MT,5,Centro-oeste,CO,5978.984
5102504,Cáceres,-16.536624,-57.833383,51,Mato Grosso,MT,5,Centro-oeste,CO,24499.922
5101803,Barra do Garças,-15.362866,-52.442691,51,Mato Grosso,MT,5,Centro-oeste,CO,8362.912
5101852,Bom Jesus do Araguaia,-12.217816,-51.739555,51,Mato Grosso,MT,5,Centro-oeste,CO,4266.636
5101837,Boa Esperança do Norte,-13.463176,-54.941762,51,Mato Grosso,MT,5,Centro-oeste,CO,4704.488
5101704,Barra do Bugres,-15.068061,-57.560305,51,Mato Grosso,MT,5,Centro-oeste,CO,5976.863
5101902,Brasnorte,-12.422142,-57.999348,51,Mato Grosso,MT,5,Centro-oeste,CO,15968.355
5101308,Arenápolis,-14.507079,-56.859361,51,Mato Grosso,MT,5,Centro-oeste,CO,417.337
5101258,Araputanga,-15.252932,-58.459225,51,Mato Grosso,MT,5,Centro-oeste,CO,1639.731
5101209,Araguainha,-16.750515,-53.121289,51,Mato Grosso,MT,5,Centro-oeste,CO,675.231
5101605,Barão de Melgaço,-16.810192,-56.0293,51,Mato Grosso,MT,5,Centro-oeste,CO,11374.872
5101407,Aripuanã,-10.179371,-59.856941,51,Mato Grosso,MT,5,Centro-oeste,CO,24678.135
5100805,Apiacás,-8.757696,-57.826572,51,Mato Grosso,MT,5,Centro-oeste,CO,20488.646
5108956,Nova Monte Verde,-9.970162,-57.24565,51,Mato Grosso,MT,5,Centro-oeste,CO,5139.307
5108857,Nova Marilândia,-14.290525,-57.257494,51,Mato Grosso,MT,5,Centro-oeste,CO,1905.744
5108808,Nova Guarita,-10.293843,-55.338198,51,Mato Grosso,MT,5,Centro-oeste,CO,1121.928
5108907,Nova Maringá,-12.78294,-57.220276,51,Mato Grosso,MT,5,Centro-oeste,CO,11553.479
5101001,Araguaiana,-15.129642,-51.806298,51,Mato Grosso,MT,5,Centro-oeste,CO,6380.7
5100250,Alta Floresta,-10.055723,-56.367448,51,Mato Grosso,MT,5,Centro-oeste,CO,8955.409
5108501,Vera,-12.418692,-55.345518,51,Mato Grosso,MT,5,Centro-oeste,CO,2978.675
5108352,Vale de São Domingos,-14.965769,-58.962879,51,Mato Grosso,MT,5,Centro-oeste,CO,1902.108
5100300,Alto Araguaia,-17.426513,-53.463606,51,Mato Grosso,MT,5,Centro-oeste,CO,5094.148
5108303,União do Sul,-11.527685,-54.316375,51,Mato Grosso,MT,5,Centro-oeste,CO,4590.628
5108402,Várzea Grande,-15.556052,-56.289325,51,Mato Grosso,MT,5,Centro-oeste,CO,939.887
5100201,Água Boa,-13.977643,-52.500369,51,Mato Grosso,MT,5,Centro-oeste,CO,7549.308
5100508,Alto Paraguai,-14.759733,-56.661087,51,Mato Grosso,MT,5,Centro-oeste,CO,1847.354
5100607,Alto Taquari,-17.826141,-53.334883,51,Mato Grosso,MT,5,Centro-oeste,CO,1744.743
5108600,Vila Rica,-9.980933,-51.406392,51,Mato Grosso,MT,5,Centro-oeste,CO,7436.42
5100409,Alto Garças,-16.888236,-53.580753,51,Mato Grosso,MT,5,Centro-oeste,CO,3857.559
5100359,Alto Boa Vista,-11.811592,-51.750102,51,Mato Grosso,MT,5,Centro-oeste,CO,2248.414
5107958,Tangará da Serra,-14.430769,-58.292146,51,Mato Grosso,MT,5,Centro-oeste,CO,11636.262
5107941,Tabaporã,-11.214025,-56.496726,51,Mato Grosso,MT,5,Centro-oeste,CO,8439.05
5107925,Sorriso,-12.667384,-55.723115,51,Mato Grosso,MT,5,Centro-oeste,CO,8454.83
5108006,Tapurah,-12.568015,-56.531797,51,Mato Grosso,MT,5,Centro-oeste,CO,4492.539
5107800,Santo Antônio de Leverger,-16.531602,-55.451394,51,Mato Grosso,MT,5,Centro-oeste,CO,9519.194
5107792,Santo Antônio do Leste,-14.805117,-53.669805,51,Mato Grosso,MT,5,Centro-oeste,CO,3403.593
5107909,Sinop,-11.710734,-55.501603,51,Mato Grosso,MT,5,Centro-oeste,CO,3990.87
5107883,Serra Nova Dourada,-12.022985,-51.362093,51,Mato Grosso,MT,5,Centro-oeste,CO,1490.793
5107875,Sapezal,-13.153382,-58.653399,51,Mato Grosso,MT,5,Centro-oeste,CO,13614.552
5107859,São Félix do Araguaia,-11.455542,-51.970033,51,Mato Grosso,MT,5,Centro-oeste,CO,16682.473
5108204,Torixoréu,-16.294709,-52.889796,51,Mato Grosso,MT,5,Centro-oeste,CO,2398.383
5100102,Acorizal,-15.177237,-56.318007,51,Mato Grosso,MT,5,Centro-oeste,CO,850.763
5108055,Terra Nova do Norte,-10.512561,-54.984074,51,Mato Grosso,MT,5,Centro-oeste,CO,2399.737
5108105,Tesouro,-15.906609,-53.456284,51,Mato Grosso,MT,5,Centro-oeste,CO,4244.073
5107404,São Pedro da Cipa,-15.954093,-54.740283,51,Mato Grosso,MT,5,Centro-oeste,CO,344.33
5107305,São José do Rio Claro,-13.551151,-56.80816,51,Mato Grosso,MT,5,Centro-oeste,CO,4525.304
5107297,São José do Povo,-16.470932,-54.268086,51,Mato Grosso,MT,5,Centro-oeste,CO,489.737
5107354,São José do Xingu,-10.696422,-52.616895,51,Mato Grosso,MT,5,Centro-oeste,CO,7465.563
5107701,Rosário Oeste,-14.764882,-55.935102,51,Mato Grosso,MT,5,Centro-oeste,CO,7339.442
5107776,Santa Terezinha,-10.332454,-50.791983,51,Mato Grosso,MT,5,Centro-oeste,CO,6466.228
5107768,Santa Rita do Trivelato,-13.833544,-55.293888,51,Mato Grosso,MT,5,Centro-oeste,CO,4740.204
5107750,Salto do Céu,-15.050869,-58.050956,51,Mato Grosso,MT,5,Centro-oeste,CO,1753.38
5107743,Santa Cruz do Xingu,-10.064479,-52.541402,51,Mato Grosso,MT,5,Centro-oeste,CO,5623.39
5107578,Rondolândia,-10.462845,-61.010043,51,Mato Grosso,MT,5,Centro-oeste,CO,12658.341
5107602,Rondonópolis,-16.567221,-54.684688,51,Mato Grosso,MT,5,Centro-oeste,CO,4824.505
5107008,Poxoréu,-15.850768,-54.186026,51,Mato Grosso,MT,5,Centro-oeste,CO,6915.298
5106802,Porto dos Gaúchos,-11.735061,-56.745927,51,Mato Grosso,MT,5,Centro-oeste,CO,6846.668
5106778,Porto Alegre do Norte,-10.826321,-51.713602,51,Mato Grosso,MT,5,Centro-oeste,CO,3971.733
5106851,Porto Estrela,-15.521126,-57.215401,51,Mato Grosso,MT,5,Centro-oeste,CO,2045.467
5106828,Porto Esperidião,-15.956665,-58.982254,51,Mato Grosso,MT,5,Centro-oeste,CO,5835.276
5107206,Rio Branco,-15.272961,-58.149779,51,Mato Grosso,MT,5,Centro-oeste,CO,539.287
5107198,Ribeirãozinho,-16.493996,-52.759749,51,Mato Grosso,MT,5,Centro-oeste,CO,624.997
5107180,Ribeirão Cascalheira,-12.874634,-51.568225,51,Mato Grosso,MT,5,Centro-oeste,CO,11354.555
