CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
1507706,São Sebastião da Boa Vista,-1.434161,-49.680293,15,Pará,PA,1,Norte,N,1632.243
1507755,Sapucaia,-6.838878,-49.56976,15,Pará,PA,1,Norte,N,1298.195
1507102,São Caetano de Odivelas,-0.864988,-48.025702,15,Pará,PA,1,Norte,N,463.883
1506906,Santarém Novo,-0.913345,-47.332944,15,Pará,PA,1,Norte,N,229.51
1507003,Santo Antônio do Tauá,-1.093275,-48.182749,15,Pará,PA,1,Norte,N,537.619
1507300,São Félix do Xingu,-7.229439,-52.252334,15,Pará,PA,1,Norte,N,84212.873
1507201,São Domingos do Capim,-1.882518,-47.771478,15,Pará,PA,1,Norte,N,1686.672
1507151,São Domingos do Araguaia,-5.657594,-48.73059,15,Pará,PA,1,Norte,N,1392.464
1506559,Santa Luzia do Pará,-1.656645,-46.926969,15,Pará,PA,1,Norte,N,1346.502
1506609,Santa Maria do Pará,-1.374484,-47.521639,15,Pará,PA,1,Norte,N,457.724
1506583,Santa Maria das Barreiras,-8.633865,-50.314308,15,Pará,PA,1,Norte,N,10330.214
1506401,Santa Cruz do Arari,-0.583354,-49.313859,15,Pará,PA,1,Norte,N,1076.652
1506500,Santa Izabel do Pará,-1.365201,-48.129308,15,Pará,PA,1,Norte,N,717.662
1506807,Santarém,-2.679423,-55.238417,15,Pará,PA,1,Norte,N,17900.01
1506708,Santana do Araguaia,-9.363998,-50.611173,15,Pará,PA,1,Norte,N,11591.427
1506005,Prainha,-2.120136,-53.660192,15,Pará,PA,1,Norte,N,14788.187
1506112,Quatipuru,-0.86008,-47.015453,15,Pará,PA,1,Norte,N,302.586
1506104,Primavera,-0.952416,-47.131369,15,Pará,PA,1,Norte,N,259.331
1505908,Porto de Moz,-2.184588,-52.547693,15,Pará,PA,1,Norte,N,17422.329
1506302,Salvaterra,-0.796644,-48.629978,15,Pará,PA,1,Norte,N,918.563
1506351,Santa Bárbara do Pará,-1.194335,-48.250515,15,Pará,PA,1,Norte,N,278.154
1506161,Rio Maria,-7.340613,-49.894928,15,Pará,PA,1,Norte,N,4114.652
1506138,Redenção,-8.069347,-50.198159,15,Pará,PA,1,Norte,N,3823.809
1506203,Salinópolis,-0.68395,-47.351701,15,Pará,PA,1,Norte,N,226.12
1506195,Rurópolis,-4.241044,-55.210708,15,Pará,PA,1,Norte,N,7021.322
1506187,Rondon do Pará,-4.516948,-48.459952,15,Pará,PA,1,Norte,N,8246.394
1505536,Parauapebas,-6.151771,-50.489528,15,Pará,PA,1,Norte,N,6885.865
1505502,Paragominas,-3.202963,-47.602292,15,Pará,PA,1,Norte,N,19342.565
1505494,Palestina do Pará,-5.927231,-48.370174,15,Pará,PA,1,Norte,N,984.362
1505486,Pacajá,-3.684119,-50.631523,15,Pará,PA,1,Norte,N,11832.318
1505601,Peixe-Boi,-1.130707,-47.271986,15,Pará,PA,1,Norte,N,450.224
1505551,Pau D'Arco,-7.737006,-50.123629,15,Pará,PA,1,Norte,N,1671.418
1505403,Ourém,-1.495916,-47.139184,15,Pará,PA,1,Norte,N,561.71
1505437,Ourilândia do Norte,-7.5201,-51.430328,15,Pará,PA,1,Norte,N,14410.567
1505809,Portel,-2.565532,-50.955659,15,Pará,PA,1,Norte,N,25386.158
1505650,Placas,-3.889766,-54.500659,15,Pará,PA,1,Norte,N,7173.2
1505635,Piçarra,-6.54105,-49.011746,15,Pará,PA,1,Norte,N,3312.709
1505700,Ponta de Pedras,-1.117618,-49.077274,15,Pará,PA,1,Norte,N,3363.743
1505007,Nova Timboteua,-1.156431,-47.392153,15,Pará,PA,1,Norte,N,489.852
1504976,Nova Ipixuna,-4.981053,-49.230786,15,Pará,PA,1,Norte,N,1564.182
1505064,Novo Repartimento,-4.502798,-50.27141,15,Pará,PA,1,Norte,N,15398.735
1505031,Novo Progresso,-8.060499,-55.612221,15,Pará,PA,1,Norte,N,38162.004
1504901,Muaná,-1.355705,-49.309246,15,Pará,PA,1,Norte,N,3763.13
1504950,Nova Esperança do Piriá,-2.392499,-46.899912,15,Pará,PA,1,Norte,N,2808.195
1505304,Oriximiná,0.25435,-57.150148,15,Pará,PA,1,Norte,N,107560.161
1505106,Óbidos,-0.169575,-55.67456,15,Pará,PA,1,Norte,N,28009.656
1505205,Oeiras do Pará,-2.27888,-49.902381,15,Pará,PA,1,Norte,N,3852.291
1504505,Melgaço,-1.607588,-51.103781,15,Pará,PA,1,Norte,N,6772.778
1504455,Medicilândia,-3.160197,-53.195031,15,Pará,PA,1,Norte,N,8272.629
1504422,Marituba,-1.39745,-48.31979,15,Pará,PA,1,Norte,N,103.214
1504406,Marapanim,-0.837411,-47.709831,15,Pará,PA,1,Norte,N,804.625
