CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2500304,Alagoa Grande,-7.059066868351763,-35.60283185168708,25,Paraíba,PB,2,Nordeste,NE,322.071
2508604,Lucena,-6.918884962473809,-34.91223959574495,25,Paraíba,PB,2,Nordeste,NE,93.8
2516755,Tenório,-6.961244639900384,-36.626476473608186,25,Paraíba,PB,2,Nordeste,NE,87.452
2500403,Alagoa Nova,-7.0616437813879145,-35.76690905658654,25,Paraíba,PB,2,Nordeste,NE,128.23
2516607,Tavares,-7.599837091723925,-37.8921012522107,25,Paraíba,PB,2,Nordeste,NE,239.507
2508554,Logradouro,-6.554371960983907,-35.427252030061496,25,Paraíba,PB,2,Nordeste,NE,42.876
2508406,Lastro,-6.552572694339071,-38.180047534181575,25,Paraíba,PB,2,Nordeste,NE,107.416
2500205,Aguiar,-7.074073628164009,-38.213760083654854,25,Paraíba,PB,2,Nordeste,NE,351.607
2508802,Malta,-6.883697489776068,-37.53010990190038,25,Paraíba,PB,2,Nordeste,NE,172.01
2500601,Alhandra,-7.348628326525714,-34.933329565459985,25,Paraíba,PB,2,Nordeste,NE,183.974
2500577,Algodão de Jandaíra,-6.8879059273416745,-35.97222239572341,25,Paraíba,PB,2,Nordeste,NE,222.74
2517001,Umbuzeiro,-7.68084496588039,-35.73781407294711,25,Paraíba,PB,2,Nordeste,NE,185.578
2516904,Uiraúna,-6.51084654694381,-38.39163305637861,25,Paraíba,PB,2,Nordeste,NE,293.182
2500536,Alcantil,-7.689900506789086,-36.04670965988763,25,Paraíba,PB,2,Nordeste,NE,309.896
2508703,Mãe d'Água,-7.2481205769812185,-37.43988417988185,25,Paraíba,PB,2,Nordeste,NE,228.676
2500502,Alagoinha,-6.961969436302146,-35.5222119777773,25,Paraíba,PB,2,Nordeste,NE,111.361
2516201,Sousa,-6.739721361096413,-38.22521018760553,25,Paraíba,PB,2,Nordeste,NE,728.492
2508000,Juru,-7.50178671762334,-37.80316049418399,25,Paraíba,PB,2,Nordeste,NE,395.075
2516102,Soledade,-7.100391382306131,-36.370593995179966,25,Paraíba,PB,2,Nordeste,NE,578.178
2507903,Juripiranga,-7.355001235940061,-35.21364297079616,25,Paraíba,PB,2,Nordeste,NE,78.706
2516151,Sossêgo,-6.723723182666104,-36.209911841552675,25,Paraíba,PB,2,Nordeste,NE,147.264
2516508,Taperoá,-7.220837832172764,-36.83066043564965,25,Paraíba,PB,2,Nordeste,NE,628.365
