CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2615706,Triunfo,-7.849846,-38.066625,26,Pernambuco,PE,2,Nordeste,NE,191.518
2607505,Itaíba,-8.986815,-37.291721,26,Pernambuco,PE,2,Nordeste,NE,1034.044
2615003,Taquaritinga do Norte,-7.869442,-36.130446,26,Pernambuco,PE,2,Nordeste,NE,475.183
2606804,Igarassu,-7.817517,-34.960316,26,Pernambuco,PE,2,Nordeste,NE,306.879
2615102,Terezinha,-9.077229,-36.631213,26,Pernambuco,PE,2,Nordeste,NE,151.625
2606903,Iguaracy,-7.845743,-37.402738,26,Pernambuco,PE,2,Nordeste,NE,836.046
2606705,Ibirajuba,-8.613395,-36.201414,26,Pernambuco,PE,2,Nordeste,NE,189.596
2614857,Tamandaré,-8.745749,-35.229999,26,Pernambuco,PE,2,Nordeste,NE,213.75
2615300,Timbaúba,-7.534547,-35.341533,26,Pernambuco,PE,2,Nordeste,NE,287.683
2607109,Ingazeira,-7.713587,-37.415544,26,Pernambuco,PE,2,Nordeste,NE,243.858
2615201,Terra Nova,-8.157675,-39.397445,26,Pernambuco,PE,2,Nordeste,NE,318.709
2607000,Inajá,-8.803461,-37.839295,26,Pernambuco,PE,2,Nordeste,NE,1240.961
2614501,Surubim,-7.891887,-35.754419,26,Pernambuco,PE,2,Nordeste,NE,253.296
2606309,Granito,-7.788465,-39.694336,26,Pernambuco,PE,2,Nordeste,NE,521.69
2614402,Solidão,-7.584727,-37.651383,26,Pernambuco,PE,2,Nordeste,NE,138.6
2606200,Goiana,-7.596892,-34.942487,26,Pernambuco,PE,2,Nordeste,NE,445.406
2614808,Tacaratu,-8.956768,-38.076505,26,Pernambuco,PE,2,Nordeste,NE,1264.532
2606606,Ibimirim,-8.588966,-37.595867,26,Pernambuco,PE,2,Nordeste,NE,1929.342
2614600,Tabira,-7.577289,-37.512858,26,Pernambuco,PE,2,Nordeste,NE,388.458
2606408,Gravatá,-8.199375,-35.563616,26,Pernambuco,PE,2,Nordeste,NE,507.36
2614709,Tacaimbó,-8.347988,-36.270155,26,Pernambuco,PE,2,Nordeste,NE,227.6
2606507,Iati,-9.143386,-36.901049,26,Pernambuco,PE,2,Nordeste,NE,635.137
2614006,Serrita,-7.850005,-39.381556,26,Pernambuco,PE,2,Nordeste,NE,1535.19
2605806,Frei Miguelinho,-7.935424,-35.885071,26,Pernambuco,PE,2,Nordeste,NE,213.735
2613909,Serra Talhada,-8.03608,-38.369726,26,Pernambuco,PE,2,Nordeste,NE,2980.007
2605707,Floresta,-8.566177,-38.305111,26,Pernambuco,PE,2,Nordeste,NE,3637.243
2614303,Moreilândia,-7.618119,-39.522546,26,Pernambuco,PE,2,Nordeste,NE,404.288
2606101,Glória do Goitá,-8.012747,-35.338274,26,Pernambuco,PE,2,Nordeste,NE,234.486
2614105,Sertânia,-8.210142,-37.33588,26,Pernambuco,PE,2,Nordeste,NE,2409.511
2605905,Gameleira,-8.612476,-35.393084,26,Pernambuco,PE,2,Nordeste,NE,257.781
2614204,Sirinhaém,-8.571903,-35.172077,26,Pernambuco,PE,2,Nordeste,NE,374.321
2606002,Garanhuns,-8.928981,-36.501097,26,Pernambuco,PE,2,Nordeste,NE,458.964
2613503,São José do Belmonte,-7.865759,-38.745666,26,Pernambuco,PE,2,Nordeste,NE,1474.086
2605301,Exu,-7.516015,-39.748219,26,Pernambuco,PE,2,Nordeste,NE,1336.786
2605152,Dormentes,-8.496315,-40.619136,26,Pernambuco,PE,2,Nordeste,NE,1543.723
2613404,São José da Coroa Grande,-8.865499,-35.185184,26,Pernambuco,PE,2,Nordeste,NE,69.184
2605202,Escada,-8.369776,-35.264455,26,Pernambuco,PE,2,Nordeste,NE,342.156
2613800,São Vicente Férrer,-7.60538,-35.489862,26,Pernambuco,PE,2,Nordeste,NE,112.472
2605608,Flores,-7.939917,-37.894744,26,Pernambuco,PE,2,Nordeste,NE,995.561
2613602,São José do Egito,-7.526503,-37.274151,26,Pernambuco,PE,2,Nordeste,NE,774.037
2605400,Feira Nova,-7.952889,-35.383235,26,Pernambuco,PE,2,Nordeste,NE,107.726
2613701,São Lourenço da Mata,-8.023091,-35.10386,26,Pernambuco,PE,2,Nordeste,NE,263.687
2605509,Ferreiros,-7.47846,-35.244584,26,Pernambuco,PE,2,Nordeste,NE,92.516
2605459,Fernando de Noronha,-3.854332,-32.424088,26,Pernambuco,PE,2,Nordeste,NE,18.609
2613008,São Bento do Una,-8.535905,-36.450618,26,Pernambuco,PE,2,Nordeste,NE,719.193
2604809,Cortês,-8.433172,-35.530252,26,Pernambuco,PE,2,Nordeste,NE,103.416
2612901,São Benedito do Sul,-8.809265,-35.906707,26,Pernambuco,PE,2,Nordeste,NE,160.477
2604700,Correntes,-9.114705,-36.33867,26,Pernambuco,PE,2,Nordeste,NE,317.793
2613206,São João,-8.879899,-36.377569,26,Pernambuco,PE,2,Nordeste,NE,258.443
2605004,Cupira,-8.583012,-35.931378,26,Pernambuco,PE,2,Nordeste,NE,95.149
2613305,São Joaquim do Monte,-8.453794,-35.843833,26,Pernambuco,PE,2,Nordeste,NE,224.624
2605103,Custódia,-8.170406,-37.679318,26,Pernambuco,PE,2,Nordeste,NE,1382.059
2613107,São Caitano,-8.328813,-36.148002,26,Pernambuco,PE,2,Nordeste,NE,382.483
2604908,Cumaru,-8.040106,-35.720668,26,Pernambuco,PE,2,Nordeste,NE,291.429
2612471,Santa Cruz da Baixa Verde,-7.849487,-38.175711,26,Pernambuco,PE,2,Nordeste,NE,114.931
2612455,Santa Cruz,-8.291233,-40.302333,26,Pernambuco,PE,2,Nordeste,NE,1246.181
2612505,Santa Cruz do Capibaribe,-7.889578,-36.325285,26,Pernambuco,PE,2,Nordeste,NE,335.309
2604304,Cedro,-7.743826,-39.203732,26,Pernambuco,PE,2,Nordeste,NE,148.746
2604155,Casinhas,-7.756039,-35.72038,26,Pernambuco,PE,2,Nordeste,NE,116.833
2612307,Saloá,-8.991602,-36.738934,26,Pernambuco,PE,2,Nordeste,NE,251.55
2604106,Caruaru,-8.179883,-36.017471,26,Pernambuco,PE,2,Nordeste,NE,919.069
2612406,Sanharó,-8.364772,-36.549486,26,Pernambuco,PE,2,Nordeste,NE,268.065
2604205,Catende,-8.675532,-35.730941,26,Pernambuco,PE,2,Nordeste,NE,208.594
2612703,Santa Maria do Cambucá,-7.824748,-35.882896,26,Pernambuco,PE,2,Nordeste,NE,92.148
2604502,Chã Grande,-8.229558,-35.473995,26,Pernambuco,PE,2,Nordeste,NE,84.787
2612802,Santa Terezinha,-7.43044,-37.436515,26,Pernambuco,PE,2,Nordeste,NE,200.327
2604601,Condado,-7.596308,-35.098676,26,Pernambuco,PE,2,Nordeste,NE,89.645
2612604,Santa Maria da Boa Vista,-8.629663,-39.914304,26,Pernambuco,PE,2,Nordeste,NE,3000.773
2604403,Chã de Alegria,-7.999395,-35.222204,26,Pernambuco,PE,2,Nordeste,NE,49.328
2612554,Santa Filomena,-8.223498,-40.571461,26,Pernambuco,PE,2,Nordeste,NE,1004.561
2612000,Sairé,-8.302736,-35.684476,26,Pernambuco,PE,2,Nordeste,NE,190.454
2603801,Capoeiras,-8.686657,-36.599174,26,Pernambuco,PE,2,Nordeste,NE,337.108
2611804,Ribeirão,-8.504568,-35.366453,26,Pernambuco,PE,2,Nordeste,NE,289.566
2603603,Camutanga,-7.433909,-35.299184,26,Pernambuco,PE,2,Nordeste,NE,39.116
2611903,Rio Formoso,-8.675078,-35.218127,26,Pernambuco,PE,2,Nordeste,NE,227.458
2603702,Canhotinho,-8.89314,-36.176931,26,Pernambuco,PE,2,Nordeste,NE,422.831
2612208,Salgueiro,-8.1292,-39.089838,26,Pernambuco,PE,2,Nordeste,NE,1678.562
2604007,Carpina,-7.819246,-35.306056,26,Pernambuco,PE,2,Nordeste,NE,146.494
2603900,Carnaíba,-7.795236,-37.726786,26,Pernambuco,PE,2,Nordeste,NE,432.134
2612109,Salgadinho,-7.916147,-35.593811,26,Pernambuco,PE,2,Nordeste,NE,87.218
2603926,Carnaubeira da Penha,-8.409135,-38.721578,26,Pernambuco,PE,2,Nordeste,NE,1004.248
2611408,Primavera,-8.326956,-35.390785,26,Pernambuco,PE,2,Nordeste,NE,113.563
2603207,Caetés,-8.803963,-36.65918,26,Pernambuco,PE,2,Nordeste,NE,294.946
2611507,Quipapá,-8.836065,-36.028676,26,Pernambuco,PE,2,Nordeste,NE,230.617
2603306,Calçado,-8.750287,-36.321874,26,Pernambuco,PE,2,Nordeste,NE,121.434
2611309,Pombos,-8.179781,-35.396218,26,Pernambuco,PE,2,Nordeste,NE,203.105
2603108,Cachoeirinha,-8.484925,-36.290949,26,Pernambuco,PE,2,Nordeste,NE,179.262
2611705,Riacho das Almas,-8.082061,-35.882676,26,Pernambuco,PE,2,Nordeste,NE,313.613
2603504,Camocim de São Félix,-8.349995,-35.772062,26,Pernambuco,PE,2,Nordeste,NE,72.01
2611533,Quixaba,-7.717599,-37.849065,26,Pernambuco,PE,2,Nordeste,NE,210.705
2603454,Camaragibe,-7.986776,-34.995814,26,Pernambuco,PE,2,Nordeste,NE,51.321
2611606,Recife,-8.039343,-34.933093,26,Pernambuco,PE,2,Nordeste,NE,218.843
2603405,Calumbi,-8.003926,-38.078695,26,Pernambuco,PE,2,Nordeste,NE,179.314
2610905,Pesqueira,-8.392383,-36.735232,26,Pernambuco,PE,2,Nordeste,NE,970.438
2602704,Buenos Aires,-7.737917,-35.347231,26,Pernambuco,PE,2,Nordeste,NE,93.187
2611002,Petrolândia,-8.899275,-38.307867,26,Pernambuco,PE,2,Nordeste,NE,1056.589
2602803,Buíque,-8.648304,-37.118077,26,Pernambuco,PE,2,Nordeste,NE,1295.821
2610806,Pedra,-8.697102,-36.899959,26,Pernambuco,PE,2,Nordeste,NE,922.482
2602605,Brejo da Madre de Deus,-8.075646,-36.281475,26,Pernambuco,PE,2,Nordeste,NE,761.824
2611200,Poção,-8.224735,-36.711291,26,Pernambuco,PE,2,Nordeste,NE,205.118
