CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2206001,Marcos Parente,-7.076309,-43.894535,22,Piauí,PI,2,Nordeste,NE,677.416
2205805,Luzilândia,-3.604695,-42.363515,22,Piauí,PI,2,Nordeste,NE,699.182
2205854,Madeiro,-3.564959,-42.529243,22,Piauí,PI,2,Nordeste,NE,178.843
2206209,Miguel Alves,-4.240522,-42.773543,22,Piauí,PI,2,Nordeste,NE,1392.122
2206050,Massapê do Piauí,-7.535773,-41.095436,22,Piauí,PI,2,Nordeste,NE,530.169
2206100,Matias Olímpio,-3.707392,-42.584357,22,Piauí,PI,2,Nordeste,NE,226.785
2205409,Joaquim Pires,-3.540552,-42.084218,22,Piauí,PI,2,Nordeste,NE,756.188
2205508,José de Freitas,-4.71388,-42.524904,22,Piauí,PI,2,Nordeste,NE,1538.175
2205458,Joca Marques,-3.545718,-42.426147,22,Piauí,PI,2,Nordeste,NE,169.005
2205300,Jerumenha,-7.114987,-43.50156,22,Piauí,PI,2,Nordeste,NE,1865.94
2205276,Jatobá do Piauí,-4.841139,-41.918222,22,Piauí,PI,2,Nordeste,NE,651.747
2205359,João Costa,-8.541675,-42.481611,22,Piauí,PI,2,Nordeste,NE,1800.237
2205706,Luís Correia,-3.082199,-41.481683,22,Piauí,PI,2,Nordeste,NE,1074.133
2205573,Lagoa de São Francisco,-4.363968,-41.581418,22,Piauí,PI,2,Nordeste,NE,155.86
2205565,Lagoa do Barro do Piauí,-8.568512,-41.59982,22,Piauí,PI,2,Nordeste,NE,1331.025
2205557,Lagoa Alegre,-4.48983,-42.564854,22,Piauí,PI,2,Nordeste,NE,394.207
2205540,Lagoinha do Piauí,-5.820102,-42.627367,22,Piauí,PI,2,Nordeste,NE,67.649
2205532,Jurema,-9.014361,-43.165698,22,Piauí,PI,2,Nordeste,NE,1271.881
2205524,Júlio Borges,-10.425317,-44.174541,22,Piauí,PI,2,Nordeste,NE,1283.918
2205516,Juazeiro do Piauí,-4.958264,-41.589553,22,Piauí,PI,2,Nordeste,NE,935.404
2205607,Landri Sales,-7.295714,-43.927776,22,Piauí,PI,2,Nordeste,NE,1088.583
2205599,Lagoa do Sítio,-6.490089,-41.486368,22,Piauí,PI,2,Nordeste,NE,805.018
2205581,Lagoa do Piauí,-5.462473,-42.605881,22,Piauí,PI,2,Nordeste,NE,435.871
2204907,Isaías Coelho,-7.650315,-41.649821,22,Piauí,PI,2,Nordeste,NE,800.687
2204808,Ipiranga do Piauí,-6.819013,-41.791012,22,Piauí,PI,2,Nordeste,NE,529.417
2205151,Jacobina do Piauí,-7.896704,-41.252448,22,Piauí,PI,2,Nordeste,NE,1333.796
2205250,Jardim do Mulato,-6.145707,-42.527284,22,Piauí,PI,2,Nordeste,NE,511.42
2205201,Jaicós,-7.391428,-41.206636,22,Piauí,PI,2,Nordeste,NE,866.788
2205003,Itainópolis,-7.410101,-41.481469,22,Piauí,PI,2,Nordeste,NE,827.62
2205102,Itaueira,-7.50497,-43.133621,22,Piauí,PI,2,Nordeste,NE,2554.178
2204402,Gilbués,-9.621856,-45.40777,22,Piauí,PI,2,Nordeste,NE,3495.692
2204352,Geminiano,-7.187693,-41.332884,22,Piauí,PI,2,Nordeste,NE,440.606
2204303,Fronteiras,-7.077171,-40.583723,22,Piauí,PI,2,Nordeste,NE,777.179
2204659,Ilha Grande,-2.828859,-41.814164,22,Piauí,PI,2,Nordeste,NE,129.696
2204709,Inhuma,-6.672749,-41.685996,22,Piauí,PI,2,Nordeste,NE,978.222
2204550,Guaribas,-9.063221,-43.670862,22,Piauí,PI,2,Nordeste,NE,3118.231
2204501,Guadalupe,-6.842383,-43.704667,22,Piauí,PI,2,Nordeste,NE,1026.538
2204600,Hugo Napoleão,-6.035685,-42.498098,22,Piauí,PI,2,Nordeste,NE,224.573
2203909,Floriano,-7.005766,-43.079353,22,Piauí,PI,2,Nordeste,NE,3407.978
2203859,Floresta do Piauí,-7.474032,-41.804188,22,Piauí,PI,2,Nordeste,NE,221.519
2203750,Fartura do Piauí,-9.475702,-42.783957,22,Piauí,PI,2,Nordeste,NE,713.047
2203800,Flores do Piauí,-7.672874,-42.860831,22,Piauí,PI,2,Nordeste,NE,946.72
2204154,Francisco Macedo,-7.320827,-40.783916,22,Piauí,PI,2,Nordeste,NE,179.245
2204105,Francisco Ayres,-6.668594,-42.717632,22,Piauí,PI,2,Nordeste,NE,682.514
2204204,Francisco Santos,-7.012844,-41.147141,22,Piauí,PI,2,Nordeste,NE,492.191
2204006,Francinópolis,-6.423005,-42.233979,22,Piauí,PI,2,Nordeste,NE,268.704
2203354,Dirceu Arcoverde,-9.329714,-42.460056,22,Piauí,PI,2,Nordeste,NE,1005.572
2203453,Dom Inocêncio,-8.917829,-41.922426,22,Piauí,PI,2,Nordeste,NE,3871.83
2211605,Vila Nova do Piauí,-7.20211,-40.936145,22,Piauí,PI,2,Nordeste,NE,221.627
2203420,Domingos Mourão,-4.255219,-41.309865,22,Piauí,PI,2,Nordeste,NE,848.705
2203404,Dom Expedito Lopes,-6.960053,-41.698263,22,Piauí,PI,2,Nordeste,NE,218.808
2203255,Curralinhos,-5.616978,-42.846936,22,Piauí,PI,2,Nordeste,NE,344.123
2211407,Várzea Grande,-6.553611,-42.22543,22,Piauí,PI,2,Nordeste,NE,236.453
2203230,Currais,-8.822504,-44.673277,22,Piauí,PI,2,Nordeste,NE,3156.695
2211506,Vera Mendes,-7.597712,-41.518556,22,Piauí,PI,2,Nordeste,NE,341.975
2203305,Demerval Lobão,-5.342077,-42.674989,22,Piauí,PI,2,Nordeste,NE,220.047
2203271,Curral Novo do Piauí,-7.887745,-40.770928,22,Piauí,PI,2,Nordeste,NE,755.252
2203602,Eliseu Martins,-7.970231,-43.65936,22,Piauí,PI,2,Nordeste,NE,1097.866
2203701,Esperantina,-3.823293,-42.18991,22,Piauí,PI,2,Nordeste,NE,911.736
2211704,Wall Ferraz,-7.264099,-41.880858,22,Piauí,PI,2,Nordeste,NE,317.278
2203503,Elesbão Veloso,-6.184864,-42.193502,22,Piauí,PI,2,Nordeste,NE,1383.976
2202851,Coronel José Dias,-8.897322,-42.334299,22,Piauí,PI,2,Nordeste,NE,1926.095
2211100,União,-4.595288,-42.795035,22,Piauí,PI,2,Nordeste,NE,1170.754
2202901,Corrente,-10.391592,-45.139606,22,Piauí,PI,2,Nordeste,NE,3048.746
2210938,Sussuapara,-7.019047,-41.356198,22,Piauí,PI,2,Nordeste,NE,205.194
2202752,Colônia do Gurguéia,-8.181348,-43.696224,22,Piauí,PI,2,Nordeste,NE,429.582
2202737,Coivaras,-5.099875,-42.284263,22,Piauí,PI,2,Nordeste,NE,484.465
2210904,Socorro do Piauí,-7.896692,-42.476385,22,Piauí,PI,2,Nordeste,NE,761.854
2202729,Cocal dos Alves,-3.630342,-41.420838,22,Piauí,PI,2,Nordeste,NE,324.856
2202711,Cocal de Telha,-4.616834,-41.957626,22,Piauí,PI,2,Nordeste,NE,310.254
2202703,Cocal,-3.453652,-41.542279,22,Piauí,PI,2,Nordeste,NE,1294.131
2211001,Teresina,-5.101445,-42.740606,22,Piauí,PI,2,Nordeste,NE,1387.466
2210979,Tanque do Piauí,-6.658643,-42.268538,22,Piauí,PI,2,Nordeste,NE,408.985
2202802,Conceição do Canindé,-7.914533,-41.580866,22,Piauí,PI,2,Nordeste,NE,824.729
2210953,Tamboril do Piauí,-8.485741,-43.082067,22,Piauí,PI,2,Nordeste,NE,1587.296
2202778,Colônia do Piauí,-7.293739,-42.189636,22,Piauí,PI,2,Nordeste,NE,938.303
2211308,Valença do Piauí,-6.367124,-41.798936,22,Piauí,PI,2,Nordeste,NE,1333.722
2203107,Cristino Castro,-8.782161,-43.961434,22,Piauí,PI,2,Nordeste,NE,1845.69
2203206,Curimatá,-9.940672,-44.306518,22,Piauí,PI,2,Nordeste,NE,2344.949
2211357,Várzea Branca,-9.322689,-42.921632,22,Piauí,PI,2,Nordeste,NE,450.429
2203008,Cristalândia do Piauí,-10.741927,-45.113638,22,Piauí,PI,2,Nordeste,NE,1202.898
2211209,Uruçuí,-7.791692,-44.569517,22,Piauí,PI,2,Nordeste,NE,8413.009
2210508,São Pedro do Piauí,-5.818202,-42.786615,22,Piauí,PI,2,Nordeste,NE,518.285
2210623,Sebastião Barros,-10.654362,-44.833361,22,Piauí,PI,2,Nordeste,NE,893.489
2210607,São Raimundo Nonato,-8.965649,-42.71563,22,Piauí,PI,2,Nordeste,NE,2415.29
2202406,Capitão de Campos,-4.523176,-41.900495,22,Piauí,PI,2,Nordeste,NE,564.858
2210409,São Miguel do Tapuio,-5.740932,-41.439537,22,Piauí,PI,2,Nordeste,NE,4988.973
2210391,São Miguel do Fidalgo,-7.59673,-42.332647,22,Piauí,PI,2,Nordeste,NE,813.444
2210383,São Miguel da Baixa Grande,-5.818814,-42.272995,22,Piauí,PI,2,Nordeste,NE,444.528
2202208,Campo Maior,-4.877009,-42.145005,22,Piauí,PI,2,Nordeste,NE,1680.863
2210375,São Luis do Piauí,-6.759959,-41.260577,22,Piauí,PI,2,Nordeste,NE,238.099
2202307,Canto do Buriti,-8.342353,-43.337427,22,Piauí,PI,2,Nordeste,NE,4325.643
2202251,Canavieira,-7.557657,-43.558636,22,Piauí,PI,2,Nordeste,NE,2165.2
2210805,Simplício Mendes,-7.79895,-42.021372,22,Piauí,PI,2,Nordeste,NE,1360.04
2202604,Castelo do Piauí,-5.326572,-41.566977,22,Piauí,PI,2,Nordeste,NE,2378.846
2202653,Caxingó,-3.391887,-41.850572,22,Piauí,PI,2,Nordeste,NE,491.093
2210656,Sigefredo Pacheco,-4.97549,-41.805127,22,Piauí,PI,2,Nordeste,NE,1031.102
2210631,Sebastião Leal,-7.744721,-44.092533,22,Piauí,PI,2,Nordeste,NE,3148.866
2202455,Capitão Gervásio Oliveira,-8.529263,-41.901225,22,Piauí,PI,2,Nordeste,NE,1132.996
2202554,Caridade do Piauí,-7.703608,-40.955819,22,Piauí,PI,2,Nordeste,NE,498.793
2202539,Caraúbas do Piauí,-3.562498,-41.823123,22,Piauí,PI,2,Nordeste,NE,463.184
2210706,Simões,-7.671031,-40.741778,22,Piauí,PI,2,Nordeste,NE,1076.055
2210052,São José do Divino,-3.784229,-41.856971,22,Piauí,PI,2,Nordeste,NE,391.157
2202505,Caracol,-9.089027,-43.346777,22,Piauí,PI,2,Nordeste,NE,1610.959
2210003,São João do Piauí,-8.320495,-42.257357,22,Piauí,PI,2,Nordeste,NE,1527.488
2201804,Bocaina,-6.906016,-41.304196,22,Piauí,PI,2,Nordeste,NE,261.49
2210102,São José do Peixe,-7.48246,-42.582345,22,Piauí,PI,2,Nordeste,NE,1287.174
2201919,Bom Princípio do Piauí,-3.157412,-41.630627,22,Piauí,PI,2,Nordeste,NE,523.143
2201903,Bom Jesus,-9.246041,-44.539941,22,Piauí,PI,2,Nordeste,NE,5470.984
2209906,São João da Serra,-5.542486,-41.877832,22,Piauí,PI,2,Nordeste,NE,994.224
2201705,Bertolínia,-7.744942,-43.877222,22,Piauí,PI,2,Nordeste,NE,1216.116
2209872,São João da Fronteira,-3.992357,-41.283812,22,Piauí,PI,2,Nordeste,NE,817.115
2209971,São João do Arraial,-3.819269,-42.448951,22,Piauí,PI,2,Nordeste,NE,215.149
2209955,São João da Varjota,-6.956543,-41.882151,22,Piauí,PI,2,Nordeste,NE,394.457
2201770,Boa Hora,-4.354141,-42.105473,22,Piauí,PI,2,Nordeste,NE,339.902
2201739,Betânia do Piauí,-8.122714,-40.765459,22,Piauí,PI,2,Nordeste,NE,667.433
2210300,São Julião,-7.081583,-40.820578,22,Piauí,PI,2,Nordeste,NE,291.089
2202117,Campo Alegre do Fidalgo,-8.282809,-41.821475,22,Piauí,PI,2,Nordeste,NE,657.797
2202109,Campinas do Piauí,-7.65655,-41.871368,22,Piauí,PI,2,Nordeste,NE,783.843
