CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
4120408,Presidente Castelo Branco,-23.26342304320109,-52.149160793613355,41,Paraná,PR,4,Sul,S,155.631
4104055,Campo Bonito,-24.93112008457706,-53.013819614924664,41,Paraná,PR,4,Sul,S,434.124
4128708,Vitorino,-26.281255952390186,-52.80735914196778,41,Paraná,PR,4,Sul,S,308.08
4112207,Janiópolis,-24.128496526836962,-52.81146504553549,41,Paraná,PR,4,Sul,S,337.91
4120507,Primeiro de Maio,-22.861228093172592,-51.07334488052522,41,Paraná,PR,4,Sul,S,410.378
4128658,Virmond,-25.406591269559385,-52.23690885294404,41,Paraná,PR,4,Sul,S,248.583
4112306,Japira,-23.732879911048514,-50.162905734675796,41,Paraná,PR,4,Sul,S,189.291
4128005,Ubiratã,-24.50489310542701,-53.02155678567141,41,Paraná,PR,4,Sul,S,653.097
4104105,Campo do Tenente,-25.977842484265054,-49.65630435194593,41,Paraná,PR,4,Sul,S,303.956
4119806,Planalto,-25.736475010950695,-53.70801077010393,41,Paraná,PR,4,Sul,S,347.974
4127965,Turvo,-25.012939766472467,-51.48139985160213,41,Paraná,PR,4,Sul,S,936.038
4127957,Tupãssi,-24.645870681669233,-53.50916259018101,41,Paraná,PR,4,Sul,S,299.093
4111605,Ivatuba,-23.59928949019378,-52.17736620818514,41,Paraná,PR,4,Sul,S,96.427
4103404,Cafeara,-22.81246992880673,-51.711268779223914,41,Paraná,PR,4,Sul,S,184.255
4103370,Brasilândia do Sul,-24.16607799230146,-53.541678334097085,41,Paraná,PR,4,Sul,S,291.036
4103479,Cafezal do Sul,-23.93941197227381,-53.56198912139178,41,Paraná,PR,4,Sul,S,335.728
4127858,Três Barras do Paraná,-25.43841352724481,-53.224719177833265,41,Paraná,PR,4,Sul,S,506.963
4103453,Cafelândia,-24.69155850211344,-53.36406475112748,41,Paraná,PR,4,Sul,S,275.17
4119657,Pitangueiras,-23.209099763525618,-51.572494064535945,41,Paraná,PR,4,Sul,S,123.081
4127908,Tuneiras do Oeste,-23.879486913123415,-52.842255239392905,41,Paraná,PR,4,Sul,S,705.229
4111555,Ivaté,-23.353990018100156,-53.42438443166822,41,Paraná,PR,4,Sul,S,410.221
4119707,Planaltina do Paraná,-23.09176080337382,-52.9346101890352,41,Paraná,PR,4,Sul,S,356.276
4127882,Tunas do Paraná,-24.952275873427823,-48.90217174544105,41,Paraná,PR,4,Sul,S,670.899
4103354,Braganey,-24.801341256062475,-53.09047387759809,41,Paraná,PR,4,Sul,S,343.26
4111506,Ivaiporã,-24.282607211632957,-51.62930975467296,41,Paraná,PR,4,Sul,S,436.378
4103305,Borrazópolis,-23.9387872275713,-51.59050897059659,41,Paraná,PR,4,Sul,S,338.354
4128203,União da Vitória,-26.108775256662774,-51.07319507858562,41,Paraná,PR,4,Sul,S,727.443
4128302,Uniflor,-23.067219024453742,-52.1095972967132,41,Paraná,PR,4,Sul,S,95.731
4120101,Porto Amazonas,-25.529757836470022,-49.89526164069786,41,Paraná,PR,4,Sul,S,186.581
4111902,Jaguapitã,-23.065254679085164,-51.55641301731575,41,Paraná,PR,4,Sul,S,475.004
4128104,Umuarama,-23.67984988757602,-53.41419612417524,41,Paraná,PR,4,Sul,S,1233.997
4103701,Cambé,-23.18049090109763,-51.28438518901879,41,Paraná,PR,4,Sul,S,499.583
4119905,Ponta Grossa,-25.140059083662987,-50.08025686115439,41,Paraná,PR,4,Sul,S,2044.902
4111704,Jaboti,-23.718115583583238,-50.07981988981865,41,Paraná,PR,4,Sul,S,139.217
4120002,Porecatu,-22.742663164281353,-51.40995033821904,41,Paraná,PR,4,Sul,S,291.663
4103503,Califórnia,-23.668787476714908,-51.333831717711774,41,Paraná,PR,4,Sul,S,141.817
4111803,Jacarezinho,-23.150707752758827,-49.94733428669282,41,Paraná,PR,4,Sul,S,603.383
4119954,Pontal do Paraná,-25.636482123837677,-48.474697767695375,41,Paraná,PR,4,Sul,S,202.242
4103602,Cambará,-22.996922523432538,-50.08323552535013,41,Paraná,PR,4,Sul,S,367.462
