CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
3305703,Sumidouro,-22.107044,-42.664185,33,Rio de Janeiro,RJ,3,Sudeste,SE,413.407
3305752,Tanguá,-22.782183,-42.725457,33,Rio de Janeiro,RJ,3,Sudeste,SE,143.007
3305604,Silva Jardim,-22.567556,-42.413336,33,Rio de Janeiro,RJ,3,Sudeste,SE,937.755
3305554,Seropédica,-22.755521,-43.698569,33,Rio de Janeiro,RJ,3,Sudeste,SE,265.189
3306008,Três Rios,-22.124738,-43.112136,33,Rio de Janeiro,RJ,3,Sudeste,SE,322.843
3305802,Teresópolis,-22.314031,-42.87332,33,Rio de Janeiro,RJ,3,Sudeste,SE,773.338
3305901,Trajano de Moraes,-22.129731,-42.154926,33,Rio de Janeiro,RJ,3,Sudeste,SE,591.152
3305208,São Pedro da Aldeia,-22.788348,-42.126072,33,Rio de Janeiro,RJ,3,Sudeste,SE,332.488
3305158,São José do Vale do Rio Preto,-22.169721,-42.932503,33,Rio de Janeiro,RJ,3,Sudeste,SE,220.178
3305133,São José de Ubá,-21.370805,-41.949241,33,Rio de Janeiro,RJ,3,Sudeste,SE,249.688
3305109,São João de Meriti,-22.785148,-43.365302,33,Rio de Janeiro,RJ,3,Sudeste,SE,35.216
3305505,Saquarema,-22.878157,-42.518823,33,Rio de Janeiro,RJ,3,Sudeste,SE,352.129
3305307,São Sebastião do Alto,-21.883306,-42.102171,33,Rio de Janeiro,RJ,3,Sudeste,SE,397.214
3305406,Sapucaia,-22.024104,-42.82277,33,Rio de Janeiro,RJ,3,Sudeste,SE,540.673
3304706,Santo Antônio de Pádua,-21.555589,-42.192819,33,Rio de Janeiro,RJ,3,Sudeste,SE,603.633
3304755,São Francisco de Itabapoana,-21.417527,-41.135175,33,Rio de Janeiro,RJ,3,Sudeste,SE,1118.037
3304557,Rio de Janeiro,-22.923231,-43.4509,33,Rio de Janeiro,RJ,3,Sudeste,SE,1200.329
3304524,Rio das Ostras,-22.454237,-41.946473,33,Rio de Janeiro,RJ,3,Sudeste,SE,228.044
3304607,Santa Maria Madalena,-21.969643,-41.913452,33,Rio de Janeiro,RJ,3,Sudeste,SE,810.962
3304904,São Gonçalo,-22.825617,-42.997007,33,Rio de Janeiro,RJ,3,Sudeste,SE,248.159
3305000,São João da Barra,-21.782158,-41.08081,33,Rio de Janeiro,RJ,3,Sudeste,SE,452.396
3304805,São Fidélis,-21.659842,-41.78691,33,Rio de Janeiro,RJ,3,Sudeste,SE,1034.833
3304151,Quissamã,-22.104825,-41.444371,33,Rio de Janeiro,RJ,3,Sudeste,SE,719.643
3304144,Queimados,-22.725413,-43.584916,33,Rio de Janeiro,RJ,3,Sudeste,SE,75.927
3304201,Resende,-22.440597,-44.485189,33,Rio de Janeiro,RJ,3,Sudeste,SE,1099.336
3304128,Quatis,-22.355128,-44.237087,33,Rio de Janeiro,RJ,3,Sudeste,SE,284.826
3304110,Porto Real,-22.441113,-44.326036,33,Rio de Janeiro,RJ,3,Sudeste,SE,50.892
3304102,Porciúncula,-20.906514,-41.969484,33,Rio de Janeiro,RJ,3,Sudeste,SE,291.847
3304409,Rio Claro,-22.780473,-44.078337,33,Rio de Janeiro,RJ,3,Sudeste,SE,846.797
3304508,Rio das Flores,-22.15989,-43.538654,33,Rio de Janeiro,RJ,3,Sudeste,SE,478.783
3304300,Rio Bonito,-22.735015,-42.588072,33,Rio de Janeiro,RJ,3,Sudeste,SE,459.458
3303708,Paraíba do Sul,-22.181942,-43.304364,33,Rio de Janeiro,RJ,3,Sudeste,SE,571.118
3303500,Nova Iguaçu,-22.686703,-43.501798,33,Rio de Janeiro,RJ,3,Sudeste,SE,520.581
3303609,Paracambi,-22.617889,-43.72149,33,Rio de Janeiro,RJ,3,Sudeste,SE,190.949
3303906,Petrópolis,-22.397914,-43.15678,33,Rio de Janeiro,RJ,3,Sudeste,SE,791.144
3304003,Piraí,-22.633575,-43.901714,33,Rio de Janeiro,RJ,3,Sudeste,SE,490.255
3303955,Pinheiral,-22.543324,-43.997541,33,Rio de Janeiro,RJ,3,Sudeste,SE,82.254
3303807,Paraty,-23.148209,-44.706232,33,Rio de Janeiro,RJ,3,Sudeste,SE,924.295
3303856,Paty do Alferes,-22.367017,-43.403965,33,Rio de Janeiro,RJ,3,Sudeste,SE,314.341
3303203,Nilópolis,-22.821066,-43.428948,33,Rio de Janeiro,RJ,3,Sudeste,SE,19.393
3303005,Miracema,-21.395581,-42.152191,33,Rio de Janeiro,RJ,3,Sudeste,SE,303.27
3303104,Natividade,-21.041638,-41.931247,33,Rio de Janeiro,RJ,3,Sudeste,SE,387.073
3303401,Nova Friburgo,-22.319149,-42.501035,33,Rio de Janeiro,RJ,3,Sudeste,SE,935.429
3303302,Niterói,-22.914996,-43.055342,33,Rio de Janeiro,RJ,3,Sudeste,SE,133.757
3302601,Mangaratiba,-22.954129,-44.038039,33,Rio de Janeiro,RJ,3,Sudeste,SE,367.606
3302700,Maricá,-22.915336,-42.81694,33,Rio de Janeiro,RJ,3,Sudeste,SE,361.572
3302502,Magé,-22.612602,-43.113004,33,Rio de Janeiro,RJ,3,Sudeste,SE,390.775
3302908,Miguel Pereira,-22.506488,-43.469195,33,Rio de Janeiro,RJ,3,Sudeste,SE,287.933
3302858,Mesquita,-22.799312,-43.452311,33,Rio de Janeiro,RJ,3,Sudeste,SE,41.169
3302809,Mendes,-22.52152,-43.739757,33,Rio de Janeiro,RJ,3,Sudeste,SE,95.324
3302106,Itaocara,-21.726873,-42.082193,33,Rio de Janeiro,RJ,3,Sudeste,SE,433.182
3302205,Itaperuna,-21.225157,-41.894054,33,Rio de Janeiro,RJ,3,Sudeste,SE,1106.694
3302007,Itaguaí,-22.834649,-43.812312,33,Rio de Janeiro,RJ,3,Sudeste,SE,282.607
3302056,Italva,-21.423898,-41.653824,33,Rio de Janeiro,RJ,3,Sudeste,SE,291.193
3302403,Macaé,-22.295828,-41.976582,33,Rio de Janeiro,RJ,3,Sudeste,SE,1216.989
3302452,Macuco,-22.023996,-42.273532,33,Rio de Janeiro,RJ,3,Sudeste,SE,78.364
3302270,Japeri,-22.661924,-43.605754,33,Rio de Janeiro,RJ,3,Sudeste,SE,81.697
3302254,Itatiaia,-22.441645,-44.587846,33,Rio de Janeiro,RJ,3,Sudeste,SE,241.035
3302304,Laje do Muriaé,-21.250093,-42.13511,33,Rio de Janeiro,RJ,3,Sudeste,SE,253.53
3301603,Duas Barras,-22.055593,-42.498043,33,Rio de Janeiro,RJ,3,Sudeste,SE,379.619
3301702,Duque de Caxias,-22.632459,-43.299619,33,Rio de Janeiro,RJ,3,Sudeste,SE,467.319
3301504,Cordeiro,-22.058803,-42.342227,33,Rio de Janeiro,RJ,3,Sudeste,SE,113.048
3301876,Iguaba Grande,-22.82748,-42.218012,33,Rio de Janeiro,RJ,3,Sudeste,SE,50.977
3301850,Guapimirim,-22.583467,-42.964018,33,Rio de Janeiro,RJ,3,Sudeste,SE,358.443
3301900,Itaboraí,-22.750006,-42.854357,33,Rio de Janeiro,RJ,3,Sudeste,SE,429.961
3301801,Engenheiro Paulo de Frontin,-22.508282,-43.636093,33,Rio de Janeiro,RJ,3,Sudeste,SE,139.381
3301108,Cantagalo,-21.868322,-42.333856,33,Rio de Janeiro,RJ,3,Sudeste,SE,747.21
3301157,Cardoso Moreira,-21.525445,-41.50029,33,Rio de Janeiro,RJ,3,Sudeste,SE,522.596
3300951,Comendador Levy Gasparian,-22.043778,-43.255735,33,Rio de Janeiro,RJ,3,Sudeste,SE,108.639
3300936,Carapebus,-22.195949,-41.6509,33,Rio de Janeiro,RJ,3,Sudeste,SE,304.884
3301009,Campos dos Goytacazes,-21.747376,-41.404098,33,Rio de Janeiro,RJ,3,Sudeste,SE,4032.487
3301405,Conceição de Macabu,-22.136606,-41.846558,33,Rio de Janeiro,RJ,3,Sudeste,SE,338.26
3301207,Carmo,-21.895406,-42.56638,33,Rio de Janeiro,RJ,3,Sudeste,SE,305.749
3301306,Casimiro de Abreu,-22.48188,-42.14425,33,Rio de Janeiro,RJ,3,Sudeste,SE,462.918
3300605,Bom Jesus do Itabapoana,-21.123456,-41.683299,33,Rio de Janeiro,RJ,3,Sudeste,SE,596.659
3300456,Belford Roxo,-22.728727,-43.377563,33,Rio de Janeiro,RJ,3,Sudeste,SE,78.985
3300506,Bom Jardim,-22.199748,-42.371732,33,Rio de Janeiro,RJ,3,Sudeste,SE,382.43
3300902,Cambuci,-21.49687,-41.914571,33,Rio de Janeiro,RJ,3,Sudeste,SE,558.281
3300704,Cabo Frio,-22.71174,-42.057019,33,Rio de Janeiro,RJ,3,Sudeste,SE,413.449
3300803,Cachoeiras de Macacu,-22.516094,-42.728382,33,Rio de Janeiro,RJ,3,Sudeste,SE,954.749
3300100,Angra dos Reis,-22.986557,-44.352824,33,Rio de Janeiro,RJ,3,Sudeste,SE,813.419
3300159,Aperibé,-21.652291,-42.134662,33,Rio de Janeiro,RJ,3,Sudeste,SE,94.542
3300308,Barra do Piraí,-22.425668,-43.912964,33,Rio de Janeiro,RJ,3,Sudeste,SE,584.61
3300407,Barra Mansa,-22.505732,-44.188277,33,Rio de Janeiro,RJ,3,Sudeste,SE,547.133
3300225,Areal,-22.23539,-43.121525,33,Rio de Janeiro,RJ,3,Sudeste,SE,110.724
3300209,Araruama,-22.755279,-42.292856,33,Rio de Janeiro,RJ,3,Sudeste,SE,638.276
3300258,Arraial do Cabo,-22.925025,-42.160013,33,Rio de Janeiro,RJ,3,Sudeste,SE,152.106
3300233,Armação dos Búzios,-22.776209,-41.949545,33,Rio de Janeiro,RJ,3,Sudeste,SE,70.977
3306206,Vassouras,-22.358527,-43.569643,33,Rio de Janeiro,RJ,3,Sudeste,SE,536.073
3306305,Volta Redonda,-22.490909,-44.088933,33,Rio de Janeiro,RJ,3,Sudeste,SE,182.105
3306107,Valença,-22.234247,-43.857471,33,Rio de Janeiro,RJ,3,Sudeste,SE,1300.767
