CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2410900,Riachuelo,-5.798436,-35.849591,24,Rio Grande do Norte,RN,2,Nordeste,NE,262.88
2402709,Cerro Corá,-5.98933,-36.327148,24,Rio Grande do Norte,RN,2,Nordeste,NE,393.573
2410207,Portalegre,-6.032873,-38.014982,24,Rio Grande do Norte,RN,2,Nordeste,NE,110.054
2402006,Caicó,-6.467488,-37.037938,24,Rio Grande do Norte,RN,2,Nordeste,NE,1228.583
2410306,Serra Caiada,-6.107771,-35.721955,24,Rio Grande do Norte,RN,2,Nordeste,NE,230.036
2402105,Campo Redondo,-6.237701,-36.208891,24,Rio Grande do Norte,RN,2,Nordeste,NE,213.727
2410256,Porto do Mangue,-5.088333,-36.841508,24,Rio Grande do Norte,RN,2,Nordeste,NE,361.237
2410108,Poço Branco,-5.571511,-35.694364,24,Rio Grande do Norte,RN,2,Nordeste,NE,230.401
2401909,Caiçara do Rio do Vento,-5.766083,-36.026455,24,Rio Grande do Norte,RN,2,Nordeste,NE,261.194
2402303,Caraúbas,-5.767406,-37.583709,24,Rio Grande do Norte,RN,2,Nordeste,NE,1094.488
2410504,Rafael Fernandes,-6.196811,-38.223739,24,Rio Grande do Norte,RN,2,Nordeste,NE,78.231
2410405,Pureza,-5.407286,-35.582117,24,Rio Grande do Norte,RN,2,Nordeste,NE,504.294
2402204,Canguaretama,-6.395079,-35.148457,24,Rio Grande do Norte,RN,2,Nordeste,NE,245.485
2409704,Pedro Avelino,-5.475014,-36.331635,24,Rio Grande do Norte,RN,2,Nordeste,NE,952.754
2401503,Barcelona,-5.961088,-35.922016,24,Rio Grande do Norte,RN,2,Nordeste,NE,152.626
2401602,Bento Fernandes,-5.675914,-35.811849,24,Rio Grande do Norte,RN,2,Nordeste,NE,301.069
2409605,Pedra Preta,-5.524516,-36.07953,24,Rio Grande do Norte,RN,2,Nordeste,NE,294.985
2401404,Baía Formosa,-6.434731,-35.044892,24,Rio Grande do Norte,RN,2,Nordeste,NE,247.484
2401453,Baraúna,-5.09275,-37.61833,24,Rio Grande do Norte,RN,2,Nordeste,NE,825.681
2401859,Caiçara do Norte,-5.191828,-36.083309,24,Rio Grande do Norte,RN,2,Nordeste,NE,225.633
2410009,Pilões,-6.286595,-38.029213,24,Rio Grande do Norte,RN,2,Nordeste,NE,82.69
2401800,Brejinho,-6.218169,-35.383585,24,Rio Grande do Norte,RN,2,Nordeste,NE,61.559
2401651,Bodó,-5.962885,-36.441731,24,Rio Grande do Norte,RN,2,Nordeste,NE,253.519
2409803,Pedro Velho,-6.465258,-35.224521,24,Rio Grande do Norte,RN,2,Nordeste,NE,192.708
2409902,Pendências,-5.29292,-36.623986,24,Rio Grande do Norte,RN,2,Nordeste,NE,419.137
2401701,Bom Jesus,-6.000815,-35.590794,24,Rio Grande do Norte,RN,2,Nordeste,NE,122.035
2409209,Passagem,-6.28382,-35.395711,24,Rio Grande do Norte,RN,2,Nordeste,NE,41.215
2401008,Apodi,-5.622576,-37.836516,24,Rio Grande do Norte,RN,2,Nordeste,NE,1569.146
2400901,Antônio Martins,-6.219621,-37.924764,24,Rio Grande do Norte,RN,2,Nordeste,NE,244.897
2409100,Passa e Fica,-6.442243,-35.614492,24,Rio Grande do Norte,RN,2,Nordeste,NE,44.105
2409506,Pedra Grande,-5.146035,-35.873505,24,Rio Grande do Norte,RN,2,Nordeste,NE,221.167
2401305,Campo Grande,-5.880324,-37.324297,24,Rio Grande do Norte,RN,2,Nordeste,NE,890.89
2409332,Santa Maria,-5.788917,-35.72048,24,Rio Grande do Norte,RN,2,Nordeste,NE,219.57
2409308,Patu,-6.08688,-37.62134,24,Rio Grande do Norte,RN,2,Nordeste,NE,319.136
2401107,Areia Branca,-5.001161,-37.046232,24,Rio Grande do Norte,RN,2,Nordeste,NE,342.749
2409407,Pau dos Ferros,-6.11742,-38.169745,24,Rio Grande do Norte,RN,2,Nordeste,NE,259.959
2401206,Arez,-6.193687,-35.208166,24,Rio Grande do Norte,RN,2,Nordeste,NE,115.407
2408706,Paraú,-5.784392,-37.110555,24,Rio Grande do Norte,RN,2,Nordeste,NE,383.214
2400505,Alexandria,-6.364482,-37.989174,24,Rio Grande do Norte,RN,2,Nordeste,NE,381.205
2408607,Paraná,-6.451043,-38.284203,24,Rio Grande do Norte,RN,2,Nordeste,NE,81.39
2400406,Água Nova,-6.208625,-38.308642,24,Rio Grande do Norte,RN,2,Nordeste,NE,50.684
2408953,Rio do Fogo,-5.377262,-35.399977,24,Rio Grande do Norte,RN,2,Nordeste,NE,151.097
2408904,Parelhas,-6.713838,-36.619478,24,Rio Grande do Norte,RN,2,Nordeste,NE,513.507
2400802,Angicos,-5.646327,-36.557175,24,Rio Grande do Norte,RN,2,Nordeste,NE,741.582
2408805,Parazinho,-5.285821,-35.93618,24,Rio Grande do Norte,RN,2,Nordeste,NE,231.007
2400604,Almino Afonso,-6.154487,-37.762974,24,Rio Grande do Norte,RN,2,Nordeste,NE,128.038
2400703,Alto do Rodrigues,-5.362341,-36.723607,24,Rio Grande do Norte,RN,2,Nordeste,NE,191.334
2408201,Nísia Floresta,-6.054916,-35.173227,24,Rio Grande do Norte,RN,2,Nordeste,NE,307.719
2408102,Natal,-5.803178,-35.228846,24,Rio Grande do Norte,RN,2,Nordeste,NE,167.401
2408409,Olho d'Água do Borges,-5.980852,-37.709345,24,Rio Grande do Norte,RN,2,Nordeste,NE,136.393
2400208,Assú,-5.526644,-37.014136,24,Rio Grande do Norte,RN,2,Nordeste,NE,1303.442
2408508,Ouro Branco,-6.683529,-36.921064,24,Rio Grande do Norte,RN,2,Nordeste,NE,253.21
2400307,Afonso Bezerra,-5.471461,-36.599856,24,Rio Grande do Norte,RN,2,Nordeste,NE,576.179
2408300,Nova Cruz,-6.448635,-35.428749,24,Rio Grande do Norte,RN,2,Nordeste,NE,277.319
2400109,Acari,-6.40935,-36.650108,24,Rio Grande do Norte,RN,2,Nordeste,NE,608.466
2407708,Montanhas,-6.504924,-35.290924,24,Rio Grande do Norte,RN,2,Nordeste,NE,82.214
2407500,Maxaranguape,-5.451585,-35.354478,24,Rio Grande do Norte,RN,2,Nordeste,NE,132.129
2407609,Messias Targino,-6.089914,-37.480173,24,Rio Grande do Norte,RN,2,Nordeste,NE,142.607
2407906,Monte das Gameleiras,-6.42988,-35.809032,24,Rio Grande do Norte,RN,2,Nordeste,NE,71.946
2408003,Mossoró,-5.175828,-37.325535,24,Rio Grande do Norte,RN,2,Nordeste,NE,2099.334
2407807,Monte Alegre,-6.098764,-35.405049,24,Rio Grande do Norte,RN,2,Nordeste,NE,211.259
2407203,Macau,-5.195984,-36.523453,24,Rio Grande do Norte,RN,2,Nordeste,NE,775.302
2407005,Luís Gomes,-6.373371,-38.402628,24,Rio Grande do Norte,RN,2,Nordeste,NE,166.638
2407104,Macaíba,-5.926843,-35.428739,24,Rio Grande do Norte,RN,2,Nordeste,NE,510.092
2407401,Martins,-6.080222,-37.905902,24,Rio Grande do Norte,RN,2,Nordeste,NE,169.464
2407302,Marcelino Vieira,-6.280305,-38.157329,24,Rio Grande do Norte,RN,2,Nordeste,NE,345.711
2407252,Major Sales,-6.405106,-38.317644,24,Rio Grande do Norte,RN,2,Nordeste,NE,31.971
2414803,Vera Cruz,-6.037191,-35.435519,24,Rio Grande do Norte,RN,2,Nordeste,NE,84.127
2406601,Lagoa Salgada,-6.147191,-35.50504,24,Rio Grande do Norte,RN,2,Nordeste,NE,79.128
2414902,Viçosa,-5.987055,-37.955024,24,Rio Grande do Norte,RN,2,Nordeste,NE,37.905
2406700,Lajes,-5.698139,-36.180617,24,Rio Grande do Norte,RN,2,Nordeste,NE,676.627
2414704,Várzea,-6.351454,-35.368394,24,Rio Grande do Norte,RN,2,Nordeste,NE,72.684
2406502,Lagoa Nova,-6.092457,-36.519098,24,Rio Grande do Norte,RN,2,Nordeste,NE,176.302
2414753,Venha-Ver,-6.320719,-38.526776,24,Rio Grande do Norte,RN,2,Nordeste,NE,71.621
2406908,Lucrécia,-6.10358,-37.824373,24,Rio Grande do Norte,RN,2,Nordeste,NE,30.931
2415008,Vila Flor,-6.302818,-35.087062,24,Rio Grande do Norte,RN,2,Nordeste,NE,47.656
2406809,Lajes Pintadas,-6.148065,-36.134217,24,Rio Grande do Norte,RN,2,Nordeste,NE,130.211
2414308,Timbaúba dos Batistas,-6.477691,-37.247209,24,Rio Grande do Norte,RN,2,Nordeste,NE,135.456
2406106,Jucurutu,-6.057976,-37.021382,24,Rio Grande do Norte,RN,2,Nordeste,NE,933.73
2406205,Lagoa d'Anta,-6.384169,-35.626311,24,Rio Grande do Norte,RN,2,Nordeste,NE,104.065
2414209,Tibau do Sul,-6.241688,-35.099814,24,Rio Grande do Norte,RN,2,Nordeste,NE,102.68
2406155,Jundiá,-6.256315,-35.340364,24,Rio Grande do Norte,RN,2,Nordeste,NE,44.641
2406007,José da Penha,-6.34058,-38.28305,24,Rio Grande do Norte,RN,2,Nordeste,NE,117.635
2414159,Tenente Laurentino Cruz,-6.159077,-36.722694,24,Rio Grande do Norte,RN,2,Nordeste,NE,68.556
2406403,Lagoa de Velhos,-6.010496,-35.844388,24,Rio Grande do Norte,RN,2,Nordeste,NE,111.607
2414605,Upanema,-5.610086,-37.291939,24,Rio Grande do Norte,RN,2,Nordeste,NE,873.14
2414456,Triunfo Potiguar,-5.918398,-37.151546,24,Rio Grande do Norte,RN,2,Nordeste,NE,268.725
2414407,Touros,-5.280959,-35.607899,24,Rio Grande do Norte,RN,2,Nordeste,NE,753.961
2414506,Umarizal,-5.981476,-37.827287,24,Rio Grande do Norte,RN,2,Nordeste,NE,249.61
2406304,Lagoa de Pedras,-6.192432,-35.450829,24,Rio Grande do Norte,RN,2,Nordeste,NE,117.971
2413805,Taboleiro Grande,-5.935827,-38.051147,24,Rio Grande do Norte,RN,2,Nordeste,NE,124.093
2405603,Jardim de Piranhas,-6.334455,-37.285871,24,Rio Grande do Norte,RN,2,Nordeste,NE,330.53
2405702,Jardim do Seridó,-6.587745,-36.806557,24,Rio Grande do Norte,RN,2,Nordeste,NE,367.645
2405504,Jardim de Angicos,-5.613689,-35.98678,24,Rio Grande do Norte,RN,2,Nordeste,NE,254.012
2413706,Sítio Novo,-6.087963,-35.9273,24,Rio Grande do Norte,RN,2,Nordeste,NE,213.456
2414100,Tenente Ananias,-6.440617,-38.163885,24,Rio Grande do Norte,RN,2,Nordeste,NE,223.671
2405900,João Dias,-6.287875,-37.837892,24,Rio Grande do Norte,RN,2,Nordeste,NE,88.173
2413904,Taipu,-5.596699,-35.585212,24,Rio Grande do Norte,RN,2,Nordeste,NE,352.818
2414001,Tangará,-6.216962,-35.835294,24,Rio Grande do Norte,RN,2,Nordeste,NE,339.484
2405801,João Câmara,-5.475376,-35.87394,24,Rio Grande do Norte,RN,2,Nordeste,NE,714.971
2413300,Serra de São Bento,-6.428612,-35.718956,24,Rio Grande do Norte,RN,2,Nordeste,NE,96.585
2405108,Jandaíra,-5.357002,-36.138235,24,Rio Grande do Norte,RN,2,Nordeste,NE,442.754
2413359,Serra do Mel,-5.171252,-37.024213,24,Rio Grande do Norte,RN,2,Nordeste,NE,620.241
2413201,Senador Georgino Avelino,-6.157872,-35.121405,24,Rio Grande do Norte,RN,2,Nordeste,NE,26.1
2405009,Jaçanã,-6.410935,-36.214553,24,Rio Grande do Norte,RN,2,Nordeste,NE,54.56
2413557,Serrinha dos Pintos,-6.14449,-37.993067,24,Rio Grande do Norte,RN,2,Nordeste,NE,122.375
2413607,Severiano Melo,-5.769189,-37.972701,24,Rio Grande do Norte,RN,2,Nordeste,NE,157.85
2405405,Japi,-6.432823,-35.899105,24,Rio Grande do Norte,RN,2,Nordeste,NE,188.99
2413409,Serra Negra do Norte,-6.587358,-37.360012,24,Rio Grande do Norte,RN,2,Nordeste,NE,562.396
2405207,Janduís,-5.996158,-37.474893,24,Rio Grande do Norte,RN,2,Nordeste,NE,303.448
2413508,Serrinha,-6.255127,-35.574348,24,Rio Grande do Norte,RN,2,Nordeste,NE,193.351
2405306,Januário Cicco,-6.152457,-35.600039,24,Rio Grande do Norte,RN,2,Nordeste,NE,167.042
2404606,Ielmo Marinho,-5.784136,-35.550424,24,Rio Grande do Norte,RN,2,Nordeste,NE,312.028
2412807,São Rafael,-5.837386,-36.878508,24,Rio Grande do Norte,RN,2,Nordeste,NE,469.101
2412708,São Pedro,-5.892559,-35.630333,24,Rio Grande do Norte,RN,2,Nordeste,NE,195.237
2404507,Guamaré,-5.174767,-36.343954,24,Rio Grande do Norte,RN,2,Nordeste,NE,258.307
2404853,Itajá,-5.689984,-36.808026,24,Rio Grande do Norte,RN,2,Nordeste,NE,203.624
2413003,São Vicente,-6.207674,-36.659817,24,Rio Grande do Norte,RN,2,Nordeste,NE,197.817
2413102,Senador Elói de Souza,-6.039897,-35.679894,24,Rio Grande do Norte,RN,2,Nordeste,NE,143.574
2404903,Itaú,-5.818451,-37.916502,24,Rio Grande do Norte,RN,2,Nordeste,NE,133.031
2412906,São Tomé,-5.988167,-36.12854,24,Rio Grande do Norte,RN,2,Nordeste,NE,862.585
2404705,Ipanguaçu,-5.538196,-36.802677,24,Rio Grande do Norte,RN,2,Nordeste,NE,374.245
2404804,Ipueira,-6.774156,-37.186339,24,Rio Grande do Norte,RN,2,Nordeste,NE,127.348
2404101,Galinhos,-5.175718,-36.207996,24,Rio Grande do Norte,RN,2,Nordeste,NE,340.769
2412302,São José do Campestre,-6.301099,-35.740167,24,Rio Grande do Norte,RN,2,Nordeste,NE,341.115
2412104,São João do Sabugi,-6.690422,-37.188494,24,Rio Grande do Norte,RN,2,Nordeste,NE,277.011
2412203,São José de Mipibu,-6.063993,-35.289423,24,Rio Grande do Norte,RN,2,Nordeste,NE,289.987
2404002,Frutuoso Gomes,-6.16102,-37.839044,24,Rio Grande do Norte,RN,2,Nordeste,NE,63.279
2412500,São Miguel,-6.214347,-38.474272,24,Rio Grande do Norte,RN,2,Nordeste,NE,166.233
2404309,Governador Dix-Sept Rosado,-5.394031,-37.535277,24,Rio Grande do Norte,RN,2,Nordeste,NE,1109.36
2412609,São Paulo do Potengi,-5.93404,-35.754429,24,Rio Grande do Norte,RN,2,Nordeste,NE,240.425
2404408,Grossos,-4.94756,-37.210468,24,Rio Grande do Norte,RN,2,Nordeste,NE,124.538
