CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
1101559,Teixeirópolis,-10.943468607387286,-62.27977146945337,11,Rondônia,RO,1,Norte,N,459.933
1101609,Theobroma,-10.121801505038372,-62.34252336542013,11,Rondônia,RO,1,Norte,N,2197.412
1101435,Nova União,-10.889335683307449,-62.53236194505796,11,Rondônia,RO,1,Norte,N,807.17
1101401,Monte Negro,-10.210786554686925,-63.37239265021112,11,Rondônia,RO,1,Norte,N,1931.404
1101500,Seringueiras,-11.782447051070628,-63.18659306273964,11,Rondônia,RO,1,Norte,N,4443.991
1101492,São Francisco do Guaporé,-12.368146403134952,-63.12313209246185,11,Rondônia,RO,1,Norte,N,10948.637
1101484,São Felipe D'Oeste,-11.904939040235599,-61.467059777353576,11,Rondônia,RO,1,Norte,N,541.648
1101476,Primavera de Rondônia,-11.87867234313772,-61.315324938212804,11,Rondônia,RO,1,Norte,N,605.692
1101468,Pimenteiras do Oeste,-13.173661989895342,-61.54563768206774,11,Rondônia,RO,1,Norte,N,6014.733
1101450,Parecis,-12.262309979338225,-61.4153806539181,11,Rondônia,RO,1,Norte,N,2548.683
1101807,Vale do Paraíso,-10.38422956200519,-62.09397568299862,11,Rondônia,RO,1,Norte,N,965.661
1101757,Vale do Anari,-9.732571270100992,-61.939048305667185,11,Rondônia,RO,1,Norte,N,3135.107
1101708,Urupá,-11.103988718067386,-62.42442847712618,11,Rondônia,RO,1,Norte,N,831.855
1101005,Governador Jorge Teixeira,-10.748103821912625,-63.18404068260277,11,Rondônia,RO,1,Norte,N,5067.386
1101104,Itapuã do Oeste,-9.170230068800805,-63.044997770935446,11,Rondônia,RO,1,Norte,N,4081.555
1100924,Chupinguaia,-12.537164115488494,-60.89928113732884,11,Rondônia,RO,1,Norte,N,5117.301
1100908,Castanheiras,-11.470788799586805,-61.880102920269366,11,Rondônia,RO,1,Norte,N,892.841
1100940,Cujubim,-9.171059351773259,-62.56524028511522,11,Rondônia,RO,1,Norte,N,3863.948
1101302,Mirante da Serra,-11.07688228829195,-62.84799225881356,11,Rondônia,RO,1,Norte,N,1191.875
1101203,Ministro Andreazza,-11.160279817136743,-61.568943823991,11,Rondônia,RO,1,Norte,N,798.083
1100502,Novo Horizonte do Oeste,-11.681075048984194,-62.08319063290149,11,Rondônia,RO,1,Norte,N,843.446
1100601,Cacaulândia,-10.3316021895685,-62.98727286606012,11,Rondônia,RO,1,Norte,N,1962.032
