CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
1400605,São Luiz do Anauá,0.8844258141493896,-60.15182517612071,14,Roraima,RR,1,Norte,N,1526.9
1400407,Normandia,3.878855146038334,-60.0655043528889,14,Roraima,RR,1,Norte,N,6959.982
1400506,São João da Baliza,0.6358056826812228,-59.84499094145867,14,Roraima,RR,1,Norte,N,4284.503
1400472,Rorainópolis,0.03764029157572077,-61.01132328924437,14,Roraima,RR,1,Norte,N,33579.445
1400456,Pacaraima,4.168305537074592,-60.8390097689204,14,Roraima,RR,1,Norte,N,8019.088
1400704,Uiramutã,4.68473746100831,-60.27857345574991,14,Roraima,RR,1,Norte,N,8102.219
1400050,Alto Alegre,3.0721169028869975,-62.74295579438655,14,Roraima,RR,1,Norte,N,25424.287
1400027,Amajari,3.7331283243575637,-62.43516232036637,14,Roraima,RR,1,Norte,N,28370.592
1400100,Boa Vista,3.117785455164882,-60.71798678356354,14,Roraima,RR,1,Norte,N,5687.037
1400308,Mucajaí,2.511040756428091,-61.99765293461041,14,Roraima,RR,1,Norte,N,12337.85
1400282,Iracema,2.1824805294755287,-62.40346667755289,14,Roraima,RR,1,Norte,N,14018.766
1400175,Cantá,2.2727947092852774,-60.54229259195716,14,Roraima,RR,1,Norte,N,7664.831
1400159,Bonfim,2.7875262847137385,-60.10045381324519,14,Roraima,RR,1,Norte,N,8079.84
1400233,Caroebe,0.9146980050448592,-59.33815301218417,14,Roraima,RR,1,Norte,N,12064.399
1400209,Caracaraí,0.9894583657029424,-61.47215193061357,14,Roraima,RR,1,Norte,N,47385.318
