CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
4316204,Rondinha,-27.832479,-52.893095,43,Rio Grande do Sul,RS,4,Sul,S,252.454
4308003,Faxinal do Soturno,-29.557936,-53.46288,43,Rio Grande do Sul,RS,4,Sul,S,169.514
4307831,Eugênio de Castro,-28.565526,-54.244902,43,Rio Grande do Sul,RS,4,Sul,S,417.821
4316006,Rolante,-29.629035,-50.549983,43,Rio Grande do Sul,RS,4,Sul,S,296.09
4307815,Estrela Velha,-29.224,-53.178269,43,Rio Grande do Sul,RS,4,Sul,S,281.613
4307807,Estrela,-29.508803,-51.919864,43,Rio Grande do Sul,RS,4,Sul,S,185.032
4307906,Farroupilha,-29.209838,-51.365943,43,Rio Grande do Sul,RS,4,Sul,S,361.338
4307864,Fagundes Varela,-28.886557,-51.717551,43,Rio Grande do Sul,RS,4,Sul,S,134.476
4307203,Erval Grande,-27.351362,-52.580874,43,Rio Grande do Sul,RS,4,Sul,S,285.677
4315354,Quinze de Novembro,-28.756914,-53.116882,43,Rio Grande do Sul,RS,4,Sul,S,223.072
4315453,Relvado,-29.123289,-52.06526,43,Rio Grande do Sul,RS,4,Sul,S,108.188
4323606,Vista Alegre do Prata,-28.820244,-51.782189,43,Rio Grande do Sul,RS,4,Sul,S,120.234
4323457,Vila Nova do Sul,-30.34596,-53.878927,43,Rio Grande do Sul,RS,4,Sul,S,508.278
4315404,Redentora,-27.570093,-53.631679,43,Rio Grande do Sul,RS,4,Sul,S,303.705
4323408,Vila Maria,-28.55779,-52.151785,43,Rio Grande do Sul,RS,4,Sul,S,181.061
4307054,Ernestina,-28.420655,-52.554394,43,Rio Grande do Sul,RS,4,Sul,S,238.558
4323507,Vista Alegre,-27.32482,-53.510295,43,Rio Grande do Sul,RS,4,Sul,S,77.656
4315321,Quevedos,-29.309582,-54.065411,43,Rio Grande do Sul,RS,4,Sul,S,543.359
4315313,Quatro Irmãos,-27.842715,-52.471246,43,Rio Grande do Sul,RS,4,Sul,S,268.971
4315305,Quaraí,-30.27958,-56.15306,43,Rio Grande do Sul,RS,4,Sul,S,3139.995
