CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
4202438,Bocaina do Sul,-27.76310881,-49.90917969,42,Santa Catarina,SC,4,Sul,S,510.673
4210605,Massaranduba,-26.62690354,-48.98818242,42,Santa Catarina,SC,4,Sul,S,374.452
4202404,Blumenau,-26.88562505,-49.09730319,42,Santa Catarina,SC,4,Sul,S,518.635
4218103,Timbé do Sul,-28.80738096,-49.8684474,42,Santa Catarina,SC,4,Sul,S,328.507
4209904,Lontras,-27.18941586,-49.50731579,42,Santa Catarina,SC,4,Sul,S,197.586
4201703,Ascurra,-26.97363633,-49.3959693,42,Santa Catarina,SC,4,Sul,S,112.884
4217956,Tigrinhos,-26.67606356,-53.15654899,42,Santa Catarina,SC,4,Sul,S,56.962
4201604,Arroio Trinta,-26.92149435,-51.33667045,42,Santa Catarina,SC,4,Sul,S,93.53
4209854,Lindóia do Sul,-27.03149076,-52.0524758,42,Santa Catarina,SC,4,Sul,S,190.171
4218004,Tijucas,-27.24752839,-48.70093769,42,Santa Catarina,SC,4,Sul,S,279.262
4201653,Arvoredo,-27.07084545,-52.44198431,42,Santa Catarina,SC,4,Sul,S,90.503
4209805,Leoberto Leal,-27.47206122,-49.2572072,42,Santa Catarina,SC,4,Sul,S,293.6
4218350,Treviso,-28.49915711,-49.48984464,42,Santa Catarina,SC,4,Sul,S,156.61
4201950,Balneário Arroio do Silva,-29.01979437,-49.47541579,42,Santa Catarina,SC,4,Sul,S,94.662
4218400,Treze de Maio,-28.56622055,-49.1541828,42,Santa Catarina,SC,4,Sul,S,159.833
4210209,Major Gercino,-27.42794213,-49.05258776,42,Santa Catarina,SC,4,Sul,S,306.058
4202008,Balneário Camboriú,-27.00473513,-48.62174936,42,Santa Catarina,SC,4,Sul,S,45.214
4210050,Macieira,-26.80351453,-51.353137,42,Santa Catarina,SC,4,Sul,S,261.208
4210035,Luzerna,-27.09041494,-51.50563918,42,Santa Catarina,SC,4,Sul,S,117.099
4218202,Timbó,-26.80818922,-49.26884937,42,Santa Catarina,SC,4,Sul,S,128.313
4210001,Luiz Alves,-26.72734477,-48.8910664,42,Santa Catarina,SC,4,Sul,S,260.106
4218301,Três Barras,-26.16989969,-50.2552338,42,Santa Catarina,SC,4,Sul,S,436.496
4201802,Atalanta,-27.43730332,-49.74254432,42,Santa Catarina,SC,4,Sul,S,94.383
4210100,Mafra,-26.20082416,-49.8896915,42,Santa Catarina,SC,4,Sul,S,1404.084
4218251,Timbó Grande,-26.62425368,-50.66568667,42,Santa Catarina,SC,4,Sul,S,596.343
4201901,Aurora,-27.32963016,-49.59034234,42,Santa Catarina,SC,4,Sul,S,207.045
4217600,Siderópolis,-28.58328657,-49.52670052,42,Santa Catarina,SC,4,Sul,S,262.002
4209409,Laguna,-28.48637821,-48.82589039,42,Santa Catarina,SC,4,Sul,S,333.259
4201208,Antônio Carlos,-27.49746731,-48.83098146,42,Santa Catarina,SC,4,Sul,S,234.422
4217550,Serra Alta,-26.69261543,-53.02524047,42,Santa Catarina,SC,4,Sul,S,90.564
4209458,Lajeado Grande,-26.85494217,-52.55208125,42,Santa Catarina,SC,4,Sul,S,65.348
4201273,Arabutã,-27.14088633,-52.18163944,42,Santa Catarina,SC,4,Sul,S,132.585
4201257,Apiúna,-27.12448172,-49.36424977,42,Santa Catarina,SC,4,Sul,S,493.49
4217501,Seara,-27.14783503,-52.34068636,42,Santa Catarina,SC,4,Sul,S,309.627
4209300,Lages,-28.02003285,-50.34027094,42,Santa Catarina,SC,4,Sul,S,2637.66
4201109,Anitápolis,-27.87975739,-49.13873507,42,Santa Catarina,SC,4,Sul,S,540.636
4217808,Taió,-27.07849188,-50.09246063,42,Santa Catarina,SC,4,Sul,S,693.847
4209607,Lauro Müller,-28.38458493,-49.45193537,42,Santa Catarina,SC,4,Sul,S,271.852
4217907,Tangará,-27.14704741,-51.14710137,42,Santa Catarina,SC,4,Sul,S,390.044
4209706,Lebon Régis,-26.85836041,-50.7025648,42,Santa Catarina,SC,4,Sul,S,941.641
4201505,Armazém,-28.23787138,-49.0146834,42,Santa Catarina,SC,4,Sul,S,173.958
4217709,Sombrio,-29.07018464,-49.65592986,42,Santa Catarina,SC,4,Sul,S,143.428
4209508,Laurentino,-27.20797593,-49.73361178,42,Santa Catarina,SC,4,Sul,S,79.333
4201307,Araquari,-26.46168398,-48.75777422,42,Santa Catarina,SC,4,Sul,S,386.693
4217758,Sul Brasil,-26.69533216,-52.94680569,42,Santa Catarina,SC,4,Sul,S,113.125
4201406,Araranguá,-28.94238171,-49.47123522,42,Santa Catarina,SC,4,Sul,S,302.003
4200705,Alfredo Wagner,-27.70593473,-49.33079315,42,Santa Catarina,SC,4,Sul,S,733.489
4217154,São Miguel da Boa Vista,-26.6896426,-53.23995642,42,Santa Catarina,SC,4,Sul,S,72.755
4208955,Jardinópolis,-26.7171913,-52.87130303,42,Santa Catarina,SC,4,Sul,S,68.499
4217105,São Martinho,-28.12454692,-48.97191895,42,Santa Catarina,SC,4,Sul,S,224.566
4200754,Alto Bela Vista,-27.42152303,-51.92596424,42,Santa Catarina,SC,4,Sul,S,103.433
4208906,Jaraguá do Sul,-26.48186461,-49.15995552,42,Santa Catarina,SC,4,Sul,S,530.825
4216909,São Lourenço do Oeste,-26.46545022,-52.85977509,42,Santa Catarina,SC,4,Sul,S,356.193
4200556,Águas Frias,-26.85163812,-52.85231609,42,Santa Catarina,SC,4,Sul,S,76.631
4217006,São Ludgero,-28.35313034,-49.1681655,42,Santa Catarina,SC,4,Sul,S,106.765
4208807,Jaguaruna,-28.65787462,-49.04467585,42,Santa Catarina,SC,4,Sul,S,326.362
4200606,Águas Mornas,-27.73345612,-48.93600022,42,Santa Catarina,SC,4,Sul,S,326.66
4209151,José Boiteux,-26.85945959,-49.64632872,42,Santa Catarina,SC,4,Sul,S,405.552
4217303,Saudades,-26.8972018,-53.04003278,42,Santa Catarina,SC,4,Sul,S,205.78
4209102,Joinville,-26.24429292,-48.95142549,42,Santa Catarina,SC,4,Sul,S,1127.837
