CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
2807501,Tomar do Geru,-11.369925852296738,-37.87517307645289,28,Sergipe,SE,2,Nordeste,NE,304.837
2807600,Umbaúba,-11.399933526731653,-37.662441333589975,28,Sergipe,SE,2,Nordeste,NE,117.514
2807402,Tobias Barreto,-11.042285709350503,-38.00319726963144,28,Sergipe,SE,2,Nordeste,NE,1024.645
2807006,São Miguel do Aleixo,-10.40380649914655,-37.36233718424873,28,Sergipe,SE,2,Nordeste,NE,140.041
2807105,Simão Dias,-10.756418847140745,-37.82828223498553,28,Sergipe,SE,2,Nordeste,NE,560.199
2806909,São Francisco,-10.335228807131568,-36.86692211343072,28,Sergipe,SE,2,Nordeste,NE,83.985
2807303,Telha,-10.193125333163795,-36.88951419768941,28,Sergipe,SE,2,Nordeste,NE,47.86
2807204,Siriri,-10.574914904087048,-37.12522996926092,28,Sergipe,SE,2,Nordeste,NE,168.343
2806503,Santa Rosa de Lima,-10.632045894501315,-37.236081709483166,28,Sergipe,SE,2,Nordeste,NE,67.672
2806404,Santana do São Francisco,-10.286950989288364,-36.63670502290666,28,Sergipe,SE,2,Nordeste,NE,44.017
2806800,São Domingos,-10.782382533388615,-37.574760609881444,28,Sergipe,SE,2,Nordeste,NE,101.999
2806602,Santo Amaro das Brotas,-10.773638699929812,-36.98258827481224,28,Sergipe,SE,2,Nordeste,NE,236.965
2806701,São Cristóvão,-10.96222229753544,-37.220432315363205,28,Sergipe,SE,2,Nordeste,NE,438.037
2806008,Ribeirópolis,-10.503996734609357,-37.42936942886184,28,Sergipe,SE,2,Nordeste,NE,259.057
2805901,Riachuelo,-10.730622993015183,-37.2252823181795,28,Sergipe,SE,2,Nordeste,NE,78.308
2806305,Santa Luzia do Itanhy,-11.361808078580266,-37.50584642232054,28,Sergipe,SE,2,Nordeste,NE,325.259
2806107,Rosário do Catete,-10.682470466085602,-37.03545326234063,28,Sergipe,SE,2,Nordeste,NE,102.683
2806206,Salgado,-11.062661873559625,-37.48056165079473,28,Sergipe,SE,2,Nordeste,NE,247.579
2805505,Poço Verde,-10.800692970464318,-38.127056715336934,28,Sergipe,SE,2,Nordeste,NE,441.326
2805406,Poço Redondo,-9.865374832001352,-37.69924124786625,28,Sergipe,SE,2,Nordeste,NE,1074.584
2805703,Propriá,-10.24492282067329,-36.8031121600884,28,Sergipe,SE,2,Nordeste,NE,96.32
2805802,Riachão do Dantas,-11.034017160342277,-37.80045255051109,28,Sergipe,SE,2,Nordeste,NE,530.606
2805604,Porto da Folha,-9.913695837815823,-37.42240011600604,28,Sergipe,SE,2,Nordeste,NE,878.044
2805000,Pedra Mole,-10.624818349643425,-37.680118216867875,28,Sergipe,SE,2,Nordeste,NE,82.184
2804904,Pacatuba,-10.519130869669642,-36.64695860876045,28,Sergipe,SE,2,Nordeste,NE,381.428
2805208,Pinhão,-10.563349383506337,-37.75808564375166,28,Sergipe,SE,2,Nordeste,NE,156.4
2805307,Pirambu,-10.653880118138328,-36.80502052412407,28,Sergipe,SE,2,Nordeste,NE,208.681
2805109,Pedrinhas,-11.204421432720716,-37.65815004300658,28,Sergipe,SE,2,Nordeste,NE,33.344
2804458,Nossa Senhora Aparecida,-10.358058885469925,-37.50491875198006,28,Sergipe,SE,2,Nordeste,NE,340.855
2804508,Nossa Senhora da Glória,-10.178309581945765,-37.52922731233062,28,Sergipe,SE,2,Nordeste,NE,754.959
2804300,Muribeca,-10.384039201408196,-36.95902357627451,28,Sergipe,SE,2,Nordeste,NE,74.31
2804409,Neópolis,-10.348319708384729,-36.660390876388,28,Sergipe,SE,2,Nordeste,NE,271.323
2804706,Nossa Senhora de Lourdes,-10.076782959335238,-37.014477439273435,28,Sergipe,SE,2,Nordeste,NE,83.767
2804805,Nossa Senhora do Socorro,-10.863841870020092,-37.14553512563294,28,Sergipe,SE,2,Nordeste,NE,155.018
2804607,Nossa Senhora das Dores,-10.466447856428596,-37.240415143785,28,Sergipe,SE,2,Nordeste,NE,482.785
2804003,Maruim,-10.730401558362539,-37.10523010709204,28,Sergipe,SE,2,Nordeste,NE,95.554
2803807,Malhada dos Bois,-10.329224268962799,-36.944420822927825,28,Sergipe,SE,2,Nordeste,NE,63.199
2803906,Malhador,-10.672889597424422,-37.28779169819119,28,Sergipe,SE,2,Nordeste,NE,101.888
