CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
3543402,Ribeirão Preto,-21.21081286404062,-47.82127188090657,35,São Paulo,SP,3,Sudeste,SE,650.916
3518859,Guatapará,-21.45336695406204,-47.98001215161064,35,São Paulo,SP,3,Sudeste,SE,413.653
3518206,Guararapes,-21.285070571128816,-50.69511630952875,35,São Paulo,SP,3,Sudeste,SE,955.637
3510005,Cândido Mota,-22.808660626159583,-50.42163962139517,35,São Paulo,SP,3,Sudeste,SE,595.811
3502606,Aparecida d'Oeste,-20.478797595566512,-50.92197859095159,35,São Paulo,SP,3,Sudeste,SE,179.004
3534609,Osvaldo Cruz,-21.732694391175563,-50.873855701297806,35,São Paulo,SP,3,Sudeste,SE,248.038
3502408,Anhumas,-22.36199118040671,-51.4277588458794,35,São Paulo,SP,3,Sudeste,SE,320.84
3526407,Laranjal Paulista,-23.012152821898127,-47.86568218811275,35,São Paulo,SP,3,Sudeste,SE,384.274
3502507,Aparecida,-22.914188941305976,-45.23722020915912,35,São Paulo,SP,3,Sudeste,SE,120.89
3551009,São Vicente,-23.95938860169477,-46.48812230314959,35,São Paulo,SP,3,Sudeste,SE,147.774
3534500,Oscar Bressane,-22.29534673352542,-50.25736317866437,35,São Paulo,SP,3,Sudeste,SE,222.13
3501806,Américo de Campos,-20.289381597529662,-49.76800632484282,35,São Paulo,SP,3,Sudeste,SE,252.876
3542800,Ribeira,-24.60732083756488,-49.036553090154165,35,São Paulo,SP,3,Sudeste,SE,335.759
3526308,Lagoinha,-23.085572166259503,-45.20669342232631,35,São Paulo,SP,3,Sudeste,SE,254.454
3509957,Canas,-22.730066945156686,-45.04136294209319,35,São Paulo,SP,3,Sudeste,SE,53.261
3518107,Guarantã,-21.916127804774234,-49.58835253195331,35,São Paulo,SP,3,Sudeste,SE,461.746
3550803,São Sebastião da Grama,-21.754052869640848,-46.752987911534895,35,São Paulo,SP,3,Sudeste,SE,252.41
3509908,Cananéia,-25.018344996375944,-48.00843414137958,35,São Paulo,SP,3,Sudeste,SE,1237.354
3534807,Ouro Verde,-21.510396680598312,-51.73783568969379,35,São Paulo,SP,3,Sudeste,SE,266.778
3542602,Registro,-24.50398774032437,-47.82069938817812,35,São Paulo,SP,3,Sudeste,SE,722.201
3550902,São Simão,-21.461529443918206,-47.568263640231415,35,São Paulo,SP,3,Sudeste,SE,617.252
3526605,Lavrinhas,-22.520262367684182,-44.888865542414464,35,São Paulo,SP,3,Sudeste,SE,166.948
3534906,Pacaembu,-21.495502863648426,-51.27420475106392,35,São Paulo,SP,3,Sudeste,SE,339.375
3542701,Restinga,-20.648225443625098,-47.50591744522015,35,São Paulo,SP,3,Sudeste,SE,245.746
3526704,Leme,-22.172155191587343,-47.33758813181296,35,São Paulo,SP,3,Sudeste,SE,402.871
3518503,Guareí,-23.370516876466045,-48.21908679736851,35,São Paulo,SP,3,Sudeste,SE,567.719
3551207,Sarutaiá,-23.257503483544642,-49.4817536635892,35,São Paulo,SP,3,Sudeste,SE,141.608
3534708,Ourinhos,-22.952672221818023,-49.852423909982114,35,São Paulo,SP,3,Sudeste,SE,295.818
3510302,Capela do Alto,-23.46737764537405,-47.7309812885368,35,São Paulo,SP,3,Sudeste,SE,169.89
3543006,Ribeirão Branco,-24.256158017161784,-48.77813030941855,35,São Paulo,SP,3,Sudeste,SE,697.5
3526506,Lavínia,-21.15071342043951,-51.03250415071081,35,São Paulo,SP,3,Sudeste,SE,537.675
3543105,Ribeirão Corrente,-20.448925409095303,-47.57332615233884,35,São Paulo,SP,3,Sudeste,SE,148.332
3501707,Américo Brasiliense,-21.72233582753275,-48.03236344208961,35,São Paulo,SP,3,Sudeste,SE,122.958
3518305,Guararema,-23.427563933008752,-46.05858590765968,35,São Paulo,SP,3,Sudeste,SE,270.816
3510104,Cândido Rodrigues,-21.34283034853504,-48.62862234047645,35,São Paulo,SP,3,Sudeste,SE,70.892
3534757,Ouroeste,-19.922450993672637,-50.40197369833062,35,São Paulo,SP,3,Sudeste,SE,288.648
3518404,Guaratinguetá,-22.793479777513795,-45.23294770951948,35,São Paulo,SP,3,Sudeste,SE,752.636
3551108,Sarapuí,-23.66429616572136,-47.785776521789074,35,São Paulo,SP,3,Sudeste,SE,352.592
3510203,Capão Bonito,-24.039207465238096,-48.28988238931119,35,São Paulo,SP,3,Sudeste,SE,1640.229
3542909,Ribeirão Bonito,-22.06010442742087,-48.18535729539952,35,São Paulo,SP,3,Sudeste,SE,471.553
