CD_MUN,NM_MUN,latitude,longitude,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,AREA_KM2
1716109,Paraíso do Tocantins,-10.21821707939905,-48.82726640926309,17,Tocantins,TO,1,Norte,N,1292.267
1707207,Dois Irmãos do Tocantins,-9.27092381373341,-49.06698106919304,17,Tocantins,TO,1,Norte,N,3747.645
1715507,Oliveira de Fátima,-10.674484033171584,-48.875798373330746,17,Tocantins,TO,1,Norte,N,209.292
1707306,Dueré,-11.42725200709458,-49.39138904574876,17,Tocantins,TO,1,Norte,N,3420.657
1707108,Divinópolis do Tocantins,-9.695177756006471,-49.354869305638516,17,Tocantins,TO,1,Norte,N,2358.282
1715705,Palmeirante,-7.885889457126391,-48.15621836582151,17,Tocantins,TO,1,Norte,N,2638.465
1715754,Palmeirópolis,-13.019759917032951,-48.34877683987135,17,Tocantins,TO,1,Norte,N,1708.981
1707553,Fátima,-10.809753697133011,-48.87232616534135,17,Tocantins,TO,1,Norte,N,380.374
1707405,Esperantina,-5.326286825852048,-48.54030723244871,17,Tocantins,TO,1,Norte,N,506.175
1715002,Nova Rosalândia,-10.550004870658437,-48.97333310967926,17,Tocantins,TO,1,Norte,N,514.791
1714880,Nova Olinda,-7.6378834117064915,-48.36074245132959,17,Tocantins,TO,1,Norte,N,1567.834
1707009,Dianópolis,-11.694702833869824,-46.7955708364528,17,Tocantins,TO,1,Norte,N,3318.094
1715150,Novo Alegre,-12.914263678129098,-46.559631384175454,17,Tocantins,TO,1,Norte,N,200.411
1715259,Novo Jardim,-11.778966276501297,-46.57025608234502,17,Tocantins,TO,1,Norte,N,1213.893
1715101,Novo Acordo,-10.155085118772538,-47.38300867042111,17,Tocantins,TO,1,Norte,N,2678.262
1706258,Crixás do Tocantins,-11.171916038945989,-49.072700054081125,17,Tocantins,TO,1,Norte,N,983.766
1714302,Nazaré,-6.330356617749435,-47.781452771086144,17,Tocantins,TO,1,Norte,N,395.997
1706100,Cristalândia,-10.63642101383353,-49.312415966125116,17,Tocantins,TO,1,Norte,N,1850.75
1706506,Darcinópolis,-6.763457460971478,-47.767891254401206,17,Tocantins,TO,1,Norte,N,1641.77
1722107,Xambioá,-6.545417995262557,-48.45103723667617,17,Tocantins,TO,1,Norte,N,1190.489
1722081,Wanderlândia,-6.910046679500291,-48.0019761796143,17,Tocantins,TO,1,Norte,N,1365.432
1713957,Muricilândia,-7.003372658457367,-48.78655158671781,17,Tocantins,TO,1,Norte,N,1194.368
1705557,Combinado,-12.846285232751338,-46.50375607506859,17,Tocantins,TO,1,Norte,N,208.791
1713809,Palmeiras do Tocantins,-6.600235179456154,-47.64268425840815,17,Tocantins,TO,1,Norte,N,743.407
1705607,Conceição do Tocantins,-12.170953619417043,-47.30363987149862,17,Tocantins,TO,1,Norte,N,2530.647
1714203,Natividade,-11.798156556461748,-47.648778406086045,17,Tocantins,TO,1,Norte,N,3241.672
1706001,Couto Magalhães,-8.4367116486957,-49.162418651082156,17,Tocantins,TO,1,Norte,N,1584.196
1705102,Chapada da Natividade,-11.541014344032511,-47.84636209203408,17,Tocantins,TO,1,Norte,N,1640.833
1705508,Colinas do Tocantins,-8.07641192715169,-48.530115266461856,17,Tocantins,TO,1,Norte,N,842.488
1713304,Miranorte,-9.416309281038854,-48.68375800412087,17,Tocantins,TO,1,Norte,N,1033.301
1713700,Monte Santo do Tocantins,-9.999485305925262,-49.0672514169534,17,Tocantins,TO,1,Norte,N,1072.92
1713601,Monte do Carmo,-10.747497911140199,-48.01722343607464,17,Tocantins,TO,1,Norte,N,3601.205
1721109,Tocantínia,-9.603333540567242,-48.1409154872476,17,Tocantins,TO,1,Norte,N,2609.775
1704600,Chapada de Areia,-10.165734135447362,-49.19572575394346,17,Tocantins,TO,1,Norte,N,658.564
1720937,Taipas do Tocantins,-12.139680905999057,-46.99372186661568,17,Tocantins,TO,1,Norte,N,1105.303
